Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Characteristics [species assay result (VBcv:0000961)]	Term Source REF	Term Accession Number
5083	5083.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5084	5084.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5085	5085.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5086	5086.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5087	5087.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5088	5088.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5089	5089.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5090	5090.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5091	5091.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5092	5092.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5093	5093.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5094	5094.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5095	5095.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5096	5096.spid		morphology				Anopheles darlingi Root, 1926	MIRO	40000155
5098	5098.spid		morphology				Anopheles nuneztovari species complex	MIRO	40000165
5099	5099.spid		morphology				Anopheles nuneztovari species complex	MIRO	40000165
5100	5100.spid		morphology				Anopheles nuneztovari species complex	MIRO	40000165
5101	5101.spid		morphology				Anopheles nuneztovari species complex	MIRO	40000165
5102	5102.spid		morphology				Anopheles nuneztovari species complex	MIRO	40000165
5103	5103.spid		morphology				Anopheles nuneztovari species complex	MIRO	40000165
5104	5104.spid		morphology				Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5105	5105.spid		morphology				Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5106	5106.spid		morphology				Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5107	5107.spid		morphology				Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5108	5108.spid		morphology				Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5109	5109.spid		morphology				Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5110	5110.spid		not applicable				Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5111	5111.spid						Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5112	5112.spid						Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5113	5113.spid						Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5114	5114.spid						Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5115	5115.spid						Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5116	5116.spid		morphology				Anopheles pseudopunctipennis species complex	MIRO	40003429
5117	5117.spid		morphology				Anopheles albimanus Wiedemann, 1820	MIRO	40000071
5118	5118.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5119	5119.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5120	5120.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5121	5121.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5122	5122.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5123	5123.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5124	5124.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5125	5125.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5126	5126.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5127	5127.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5128	5128.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5129	5129.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5130	5130.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5131	5131.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5132	5132.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5133	5133.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5134	5134.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5135	5135.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5136	5136.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5137	5137.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5138	5138.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5139	5139.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5140	5140.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5141	5141.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5142	5142.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5143	5143.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5144	5144.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
5145	5145.spid		not applicable				Anopheles darlingi Root, 1926	MIRO	40000155
