Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Date	Country	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)	 Characteristics [Collection site longitude (VBcv:0000816)
3995	3995 collection		light trap		human baited net trap		animal baited net trap				2000-06-00/2000-06-00	Turkey	GAZ	00000558	37.75	39.6666
3996	3996 collection		light trap		human baited net trap		animal baited net trap				2000-07-00/2000-07-00	Turkey	GAZ	00000558	37.75	39.6666
3997	3997 collection		light trap		human baited net trap		animal baited net trap				2000-08-00/2000-08-00	Turkey	GAZ	00000558	37.75	39.6666
3998	3998 collection		light trap		human baited net trap		animal baited net trap				2000-09-00/2000-09-00	Turkey	GAZ	00000558	37.75	39.6666
3999	3999 collection		light trap		human baited net trap		animal baited net trap				2000-10-00/2000-10-00	Turkey	GAZ	00000558	37.75	39.6666
4000	4000 collection		light trap		human baited net trap		animal baited net trap				2000-11-00/2000-11-00	Turkey	GAZ	00000558	37.75	39.6666
4001	4001 collection		light trap		human baited net trap		animal baited net trap				2000-12-00/2000-12-00	Turkey	GAZ	00000558	37.75	39.6666
4002	4002 collection		light trap		human baited net trap		animal baited net trap				2001-01-00/2001-01-00	Turkey	GAZ	00000558	37.75	39.6666
4003	4003 collection		light trap		human baited net trap		animal baited net trap				2001-02-00/2001-02-00	Turkey	GAZ	00000558	37.75	39.6666
4004	4004 collection		light trap		human baited net trap		animal baited net trap				2001-03-00/2001-03-00	Turkey	GAZ	00000558	37.75	39.6666
4005	4005 collection		light trap		human baited net trap		animal baited net trap				2001-04-00/2001-04-00	Turkey	GAZ	00000558	37.75	39.6666
4006	4006 collection		light trap		human baited net trap		animal baited net trap				2001-05-00/2001-05-00	Turkey	GAZ	00000558	37.75	39.6666
4007	4007 collection		light trap		human baited net trap		animal baited net trap				2000-06-00/2000-06-00	Turkey	GAZ	00000558	37.051	39.282
4008	4008 collection		light trap		human baited net trap		animal baited net trap				2000-07-00/2000-07-00	Turkey	GAZ	00000558	37.051	39.282
4009	4009 collection		light trap		human baited net trap		animal baited net trap				2000-08-00/2000-08-00	Turkey	GAZ	00000558	37.051	39.282
4010	4010 collection		light trap		human baited net trap		animal baited net trap				2000-09-00/2000-09-00	Turkey	GAZ	00000558	37.051	39.282
4011	4011 collection		light trap		human baited net trap		animal baited net trap				2000-10-00/2000-10-00	Turkey	GAZ	00000558	37.051	39.282
4012	4012 collection		light trap		human baited net trap		animal baited net trap				2000-11-00/2000-11-00	Turkey	GAZ	00000558	37.051	39.282
4013	4013 collection		light trap		human baited net trap		animal baited net trap				2000-12-00/2000-12-00	Turkey	GAZ	00000558	37.051	39.282
4014	4014 collection		light trap		human baited net trap		animal baited net trap				2001-01-00/2001-01-00	Turkey	GAZ	00000558	37.051	39.282
4015	4015 collection		light trap		human baited net trap		animal baited net trap				2001-02-00/2001-02-00	Turkey	GAZ	00000558	37.051	39.282
4016	4016 collection		light trap		human baited net trap		animal baited net trap				2001-03-00/2001-03-00	Turkey	GAZ	00000558	37.051	39.282
4017	4017 collection		light trap		human baited net trap		animal baited net trap				2001-04-00/2001-04-00	Turkey	GAZ	00000558	37.051	39.282
4018	4018 collection		light trap		human baited net trap		animal baited net trap				2001-05-00/2001-05-00	Turkey	GAZ	00000558	37.051	39.282
4043	4043 collection		light trap		human baited net trap		animal baited net trap				2000-06-00/2001-05-00	Turkey	GAZ	00000558	37.3166	39.5666
4044	4044 collection		light trap		human baited net trap		animal baited net trap				2000-06-00/2001-05-00	Turkey	GAZ	00000558	37.3166	39.5666
4399	4399 collection		animal baited net trap								1993-01-00/1994-12-00	Pakistan	GAZ	00005246	33.799	71.616
8444	8444 collection		animal shed resting								1991-07-00/1991-07-00	Iran	GAZ	00004474	33.05	50.766
8445	8445 collection		animal shed resting								1990-08-00/1990-08-00	Iran	GAZ	00004474	29.615	51.658
8446	8446 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	37.224	49.291
8447	8447 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	37.167	48.983
8448	8448 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	37.275	49.592
8449	8449 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	37.254	55.166
8450	8450 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	36.836	54.432
8451	8451 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	37.017	55.149
8452	8452 collection		animal shed resting								1993-08-00/1993-08-00	Iran	GAZ	00004474	30.66	51.593
8453	8453 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	36.47	52.353
8454	8454 collection		animal shed resting								2002-09-00/2002-09-00	Iran	GAZ	00004474	36.47	52.353
8455	8455 collection		animal shed resting								2002-09-00/2002-09-00	Iran	GAZ	00004474	36.546	52.675
8456	8456 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	36.689	53.538
8457	8457 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	37.196	50.145
8458	8458 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	36.652	53.294
8459	8459 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	36.461	52.858
8460	8460 collection		animal shed resting								2002-09-00/2002-09-00	Iran	GAZ	00004474	36.461	52.858
8461	8461 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	36.564	53.053
8462	8462 collection		animal shed resting								2002-09-00/2002-09-00	Iran	GAZ	00004474	36.564	53.053
8463	8463 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	36.82	50.871
8464	8464 collection		animal shed resting								1985-07-00/1985-07-00	Iran	GAZ	00004474	35.75	51.8
8465	8465 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	39.283	44.515
8466	8466 collection		animal shed resting								2001-06-00/2001-06-00	Iran	GAZ	00004474	39.35	45.067
8467	8467 collection		animal shed resting								2001-08-00/2001-08-00	Iran	GAZ	00004474	36.671	48.484
8469	8469 collection		animal shed resting								1998-08-00/1998-08-00	Armenia	GAZ	00004094	40.064	44.434
8470	8470 collection		larval collection		house resting inside						1999-07-00/1999-07-00	Armenia	GAZ	00004094	40.064	44.434
8471	8471 collection		animal shed resting		house resting inside						2000-07-00/2000-07-00	Armenia	GAZ	00004094	40.064	44.434
8472	8472 collection		animal shed resting								1998-08-00/1998-08-00	Armenia	GAZ	00004094	40.051	44.499
8473	8473 collection		animal shed resting		house resting inside						2000-07-00/2000-07-00	Armenia	GAZ	00004094	40.051	44.499
8474	8474 collection		animal shed resting								1998-08-00/1998-08-00	Armenia	GAZ	00004094	40.0244	44.45
8475	8475 collection		animal shed resting		house resting inside		larval collection				2000-07-00/2000-07-00	Armenia	GAZ	00004094	40.0244	44.45
8476	8476 collection		animal shed resting								1998-08-00/1998-08-00	Armenia	GAZ	00004094	40.1131	44.2717
8477	8477 collection		animal shed resting		larval collection		house resting inside				2000-07-00/2000-07-00	Armenia	GAZ	00004094	40.1131	44.2717
8788	8788 collection		house resting inside		animal shed resting		resting outdoors				1998-04-00/1998-04-00	Azerbaijan	GAZ	00004941	39.6667	48.0333
8789	8789 collection		house resting inside		animal shed resting		resting outdoors				1998-05-00/1998-05-00	Azerbaijan	GAZ	00004941	39.6667	48.0333
8790	8790 collection		house resting inside		animal shed resting		resting outdoors				1998-06-00/1998-06-00	Azerbaijan	GAZ	00004941	39.6667	48.0333
8791	8791 collection		house resting inside		animal shed resting		resting outdoors				1998-07-00/1998-07-00	Azerbaijan	GAZ	00004941	39.6667	48.0333
8792	8792 collection		house resting inside		animal shed resting		resting outdoors				1998-08-00/1998-08-00	Azerbaijan	GAZ	00004941	39.6667	48.0333
8793	8793 collection		house resting inside		animal shed resting		resting outdoors				1998-09-00/1998-09-00	Azerbaijan	GAZ	00004941	39.6667	48.0333
8794	8794 collection		house resting inside		animal shed resting		resting outdoors				1998-10-00/1998-10-00	Azerbaijan	GAZ	00004941	39.6667	48.0333
8795	8795 collection		house resting inside		animal shed resting		resting outdoors				1998-11-00/1998-11-00	Azerbaijan	GAZ	00004941	39.6667	48.0333
8796	8796 collection		house resting inside		animal shed resting		resting outdoors				1998-12-00/1998-12-00	Azerbaijan	GAZ	00004941	39.6667	48.0333
8797	8797 collection		larval collection								1998-08-00/1998-08-00	Azerbaijan	GAZ	00004941	39.6667	48.0333
8799	8799 collection		house resting inside		animal shed resting		resting outdoors				1998-04-00/1998-04-00	Iran	GAZ	00004474	39.0167	48.05
8800	8800 collection		house resting inside		animal shed resting		resting outdoors				1998-05-00/1998-05-00	Iran	GAZ	00004474	39.0167	48.05
8801	8801 collection		house resting inside		animal shed resting		resting outdoors				1998-06-00/1998-06-00	Iran	GAZ	00004474	39.0167	48.05
8802	8802 collection		house resting inside		animal shed resting		resting outdoors				1998-07-00/1998-07-00	Iran	GAZ	00004474	39.0167	48.05
8803	8803 collection		house resting inside		animal shed resting		resting outdoors				1998-08-00/1998-08-00	Iran	GAZ	00004474	39.0167	48.05
8804	8804 collection		house resting inside		animal shed resting		resting outdoors				1998-09-00/1998-09-00	Iran	GAZ	00004474	39.0167	48.05
8805	8805 collection		house resting inside		animal shed resting		resting outdoors				1998-10-00/1998-10-00	Iran	GAZ	00004474	39.0167	48.05
8806	8806 collection		house resting inside		animal shed resting		resting outdoors				1998-11-00/1998-11-00	Iran	GAZ	00004474	39.0167	48.05
8807	8807 collection		house resting inside		animal shed resting		resting outdoors				1998-12-00/1998-12-00	Iran	GAZ	00004474	39.0167	48.05
8808	8808 collection		larval collection								1998-08-00/1998-08-00	Iran	GAZ	00004474	39.0167	48.05
8809	8809 collection		house resting inside		animal shed resting		resting outdoors				1998-04-00/1998-04-00	Iran	GAZ	00004474	39.0167	48.05
8810	8810 collection		house resting inside		animal shed resting		resting outdoors				1998-05-00/1998-05-00	Iran	GAZ	00004474	39.0167	48.05
8811	8811 collection		house resting inside		animal shed resting		resting outdoors				1998-06-00/1998-06-00	Iran	GAZ	00004474	39.0167	48.05
8812	8812 collection		house resting inside		animal shed resting		resting outdoors				1998-07-00/1998-07-00	Iran	GAZ	00004474	39.0167	48.05
8813	8813 collection		house resting inside		animal shed resting		resting outdoors				1998-08-00/1998-08-00	Iran	GAZ	00004474	39.0167	48.05
8814	8814 collection		house resting inside		animal shed resting		resting outdoors				1998-09-00/1998-09-00	Iran	GAZ	00004474	39.0167	48.05
8815	8815 collection		house resting inside		animal shed resting		resting outdoors				1998-10-00/1998-10-00	Iran	GAZ	00004474	39.0167	48.05
8816	8816 collection		house resting inside		animal shed resting		resting outdoors				1998-11-00/1998-11-00	Iran	GAZ	00004474	39.0167	48.05
8817	8817 collection		house resting inside		animal shed resting		resting outdoors				1998-12-00/1998-12-00	Iran	GAZ	00004474	39.0167	48.05
8818	8818 collection		larval collection								1998-08-00/1998-08-00	Iran	GAZ	00004474	39.0167	48.05
9173	9173 collection		larval collection								1999-08-00/1999-09-00	Netherlands	GAZ	00001549	51.797	3.92
9174	9174 collection		larval collection								1999-08-00/1999-09-00	Netherlands	GAZ	00001549	51.85	4.4
9175	9175 collection		larval collection								1999-08-00/1999-09-00	Netherlands	GAZ	00001549	51.805	4.222
9176	9176 collection		larval collection								1993-06-00/1995-04-00	Saudia Arabia	GAZ	00005279	16.893	42.549
9179	9179 collection		larval collection								1993-06-00/1995-04-00	Saudia Arabia	GAZ	00005279	17.734	42.016
9181	9181 collection		larval collection								1993-06-00/1995-04-00	Saudia Arabia	GAZ	00005279	18.544	42.054
9187	9187 collection		larval collection								1993-06-00/1995-04-00	Saudia Arabia	GAZ	00005279	18.001	41.971
9964	9964 collection		house resting inside		animal shed resting						1987-11-00/1988-03-00	Egypt	GAZ	00003934	27.062	27.939
10372	10372 collection		larval collection								1997-05-00/1999-10-00	Greece	GAZ	00002945	40.8955	26.17
10373	10373 collection		larval collection								1997-05-00/1999-10-00	Greece	GAZ	00002945	41.507	26.314
10374	10374 collection		animal shed resting								1997-05-00/1999-10-00	Greece	GAZ	00002945	40.8955	26.17
10375	10375 collection		animal shed resting		larval collection						1997-05-00/1999-10-00	Greece	GAZ	00002945	40.951	25.998
10431	10431 collection		unknown								1989-00-00/1989-00-00	Turkey	GAZ	00000558	36.867	35.548
10432	10432 collection		unknown								1990-00-00/1990-00-00	Turkey	GAZ	00000558	36.867	35.548
10438	10438 collection		unknown								1990-00-00/1990-00-00	Turkey	GAZ	00000558	36.749	35.099
10439	10439 collection		unknown								1990-00-00/1990-00-00	Turkey	GAZ	00000558	36.749	34.983
10880	10880 collection		larval collection		house resting inside						2000-00-00/2000-00-00	Egypt	GAZ	00003934	24.078	32.917
10883	10883 collection		larval collection		house resting inside						2001-00-00/2001-00-00	Egypt	GAZ	00003934	25.437	30.555
10914	10914 collection		animal shed resting								2002-07-00/2002-07-00	Romania	GAZ	00002951	44.101	28.618
10915	10915 collection		animal shed resting								2002-07-00/2002-07-00	Romania	GAZ	00002951	44.101	28.618
10916	10916 collection		animal shed resting								2002-07-00/2002-07-00	Romania	GAZ	00002951	44.1319	28.2808
10917	10917 collection		animal shed resting								2002-07-00/2002-07-00	Romania	GAZ	00002951	44.1319	28.2808
10918	10918 collection		animal shed resting								2002-07-00/2002-07-00	Romania	GAZ	00002951	43.822	28.58
10919	10919 collection		animal shed resting								2002-07-00/2002-07-00	Romania	GAZ	00002951	43.822	28.58
10920	10920 collection		animal shed resting								2002-07-00/2002-07-00	Romania	GAZ	00002951	43.801	28.532
10921	10921 collection		animal shed resting								2002-07-00/2002-07-00	Romania	GAZ	00002951	43.801	28.532
10922	10922 collection		animal shed resting								2002-07-00/2002-07-00	Romania	GAZ	00002951	44.296	28.615
10923	10923 collection		animal shed resting								2002-07-00/2002-07-00	Romania	GAZ	00002951	44.296	28.615
10924	10924 collection		animal shed resting								2000-03-00/2000-06-00	Romania	GAZ	00002951	44.201	26.113
10925	10925 collection		animal shed resting								2001-06-00/2001-08-00	Romania	GAZ	00002951	44.201	26.113
