Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Characteristics [species assay result (VBcv:0000961)]	Term Source REF	Term Accession Number	Comment [ASSI]
MAP.5083	MAP.5083.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5084	MAP.5084.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5085	MAP.5085.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5086	MAP.5086.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5087	MAP.5087.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5088	MAP.5088.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5089	MAP.5089.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5090	MAP.5090.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5091	MAP.5091.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5092	MAP.5092.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5093	MAP.5093.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5094	MAP.5094.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5095	MAP.5095.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5096	MAP.5096.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5098	MAP.5098.spid		morphology		Anopheles nuneztovari species complex	MIRO	40000165	
MAP.5099	MAP.5099.spid		morphology		Anopheles nuneztovari species complex	MIRO	40000165	
MAP.5100	MAP.5100.spid		morphology		Anopheles nuneztovari species complex	MIRO	40000165	
MAP.5101	MAP.5101.spid		morphology		Anopheles nuneztovari species complex	MIRO	40000165	
MAP.5102	MAP.5102.spid		morphology		Anopheles nuneztovari species complex	MIRO	40000165	
MAP.5103	MAP.5103.spid		morphology		Anopheles nuneztovari species complex	MIRO	40000165	
MAP.5104	MAP.5104.spid		morphology		Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5105	MAP.5105.spid		morphology		Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5106	MAP.5106.spid		morphology		Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5107	MAP.5107.spid		morphology		Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5108	MAP.5108.spid		morphology		Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5109	MAP.5109.spid		morphology		Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5110	MAP.5110.spid				Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5111	MAP.5111.spid				Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5112	MAP.5112.spid				Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5113	MAP.5113.spid				Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5114	MAP.5114.spid				Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5115	MAP.5115.spid				Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5116	MAP.5116.spid		morphology		Anopheles pseudopunctipennis species complex	MIRO	40003429	
MAP.5117	MAP.5117.spid		morphology		Anopheles albimanus Wiedemann, 1820	MIRO	40000071	
MAP.5118	MAP.5118.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5119	MAP.5119.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5120	MAP.5120.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5121	MAP.5121.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5122	MAP.5122.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5123	MAP.5123.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5124	MAP.5124.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5125	MAP.5125.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5126	MAP.5126.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5127	MAP.5127.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5128	MAP.5128.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5129	MAP.5129.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5130	MAP.5130.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5131	MAP.5131.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5132	MAP.5132.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5133	MAP.5133.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5134	MAP.5134.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5135	MAP.5135.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5136	MAP.5136.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5137	MAP.5137.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5138	MAP.5138.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5139	MAP.5139.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5140	MAP.5140.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5141	MAP.5141.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5142	MAP.5142.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5143	MAP.5143.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5144	MAP.5144.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5145	MAP.5145.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5146	MAP.5146.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5147	MAP.5147.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5148	MAP.5148.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5149	MAP.5149.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.5150	MAP.5150.spid				Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.7903	MAP.7903.spid		morphology		Anopheles albitarsis species complex	MIRO	40000151	
MAP.7904	MAP.7904.spid		morphology		Anopheles albitarsis species complex	MIRO	40000151	
MAP.7905	MAP.7905.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.7906	MAP.7906.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.7907	MAP.7907.spid		morphology		Anopheles nuneztovari species complex	MIRO	40000165	
MAP.7908	MAP.7908.spid		morphology		Anopheles nuneztovari species complex	MIRO	40000165	
MAP.7909	MAP.7909.spid		morphology		Anopheles albitarsis species complex	MIRO	40000151	
MAP.7910	MAP.7910.spid		morphology		Anopheles albitarsis species complex	MIRO	40000151	
MAP.7911	MAP.7911.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.7912	MAP.7912.spid		morphology		Anopheles darlingi Root, 1926	MIRO	40000155	
MAP.7913	MAP.7913.spid		morphology		Anopheles nuneztovari species complex	MIRO	40000165	
MAP.7914	MAP.7914.spid		morphology		Anopheles nuneztovari species complex	MIRO	40000165	
MAP.7915	MAP.7915.spid		morphology		Anopheles albitarsis species complex	MIRO	40000151	
MAP.7916	MAP.7916.spid		morphology		Anopheles albitarsis species complex	MIRO	40000151	
