Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Date	Country	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)	 Characteristics [Collection site longitude (VBcv:0000816)
2277	2277 collection		larval collection								1994-07-00/1994-12-00	Ethiopia	GAZ	00000567	7.984	38.716
2278	2278 collection		man biting indoors		man biting outdoors		house resting inside		resting outdoors		1994-07-00/1994-12-00	Ethiopia	GAZ	00000567	7.984	38.716
2279	2279 collection		man biting indoors		man biting outdoors		house resting inside		resting outdoors		1994-07-00/1994-12-00	Ethiopia	GAZ	00000567	7.984	38.716
2325	2325 collection		indoor light trap		house resting inside						1995-10-00/1996-12-00	Tanzania	GAZ	00001103	-5.11	38.485
2326	2326 collection		indoor light trap		house resting inside						1996-06-00/1996-06-00	Tanzania	GAZ	00001103	-5.11	38.485
2327	2327 collection		indoor light trap		house resting inside						1996-07-00/1996-07-00	Tanzania	GAZ	00001103	-5.11	38.485
2328	2328 collection		indoor light trap		house resting inside						1996-08-00/1996-08-00	Tanzania	GAZ	00001103	-5.11	38.485
2329	2329 collection		indoor light trap		house resting inside						1996-09-00/1996-09-00	Tanzania	GAZ	00001103	-5.11	38.485
2330	2330 collection		indoor light trap		house resting inside						1996-10-00/1996-10-00	Tanzania	GAZ	00001103	-5.11	38.485
2331	2331 collection		indoor light trap		house resting inside						1996-11-00/1996-11-00	Tanzania	GAZ	00001103	-5.11	38.485
2341	2341 collection		indoor light trap		house resting inside						1995-10-00/1996-12-00	Tanzania	GAZ	00001103	-5.0888	38.4722
2342	2342 collection		indoor light trap		house resting inside						1996-06-00/1996-06-00	Tanzania	GAZ	00001103	-5.0888	38.4722
2343	2343 collection		indoor light trap		house resting inside						1996-07-00/1996-07-00	Tanzania	GAZ	00001103	-5.0888	38.4722
2348	2348 collection		indoor light trap		house resting inside						1995-10-00/1996-12-00	Tanzania	GAZ	00001103	-5.058	38.46
2354	2354 collection		indoor light trap		house resting inside						1995-10-00/1996-12-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2355	2355 collection		indoor light trap		house resting inside						1995-10-00/1995-10-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2356	2356 collection		indoor light trap		house resting inside						1995-11-00/1995-11-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2357	2357 collection		indoor light trap		house resting inside						1995-12-00/1995-12-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2358	2358 collection		indoor light trap		house resting inside						1996-01-00/1996-01-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2359	2359 collection		indoor light trap		house resting inside						1996-02-00/1996-02-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2360	2360 collection		indoor light trap		house resting inside						1996-03-00/1996-03-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2361	2361 collection		indoor light trap		house resting inside						1996-04-00/1996-04-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2362	2362 collection		indoor light trap		house resting inside						1996-05-00/1996-05-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2363	2363 collection		indoor light trap		house resting inside						1996-06-00/1996-06-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2364	2364 collection		indoor light trap		house resting inside						1996-07-00/1996-07-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2365	2365 collection		indoor light trap		house resting inside						1996-08-00/1996-08-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2366	2366 collection		indoor light trap		house resting inside						1996-09-00/1996-09-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2367	2367 collection		indoor light trap		house resting inside						1996-12-00/1996-12-00	Tanzania	GAZ	00001103	-5.0666	38.4416
2371	2371 collection		indoor light trap		house resting inside						1995-10-00/1996-12-00	Tanzania	GAZ	00001103	-4.934	38.449
2397	2397 collection		unknown								1997-05-00/1998-05-00	Cameroon	GAZ	00001093	3.933	12.133
2399	2399 collection		unknown								1997-05-00/1998-05-00	Cameroon	GAZ	00001093	3.9	12.128
2400	2400 collection		house resting inside								1989-08-00/1989-08-00	Guinea	GAZ	00000909	11.323	-12.3
2401	2401 collection		house resting inside								1989-08-00/1989-08-00	Guinea	GAZ	00000909	11.323	-12.3
2402	2402 collection		house resting inside								1989-09-00/1989-09-00	Guinea	GAZ	00000909	11.323	-12.3
2403	2403 collection		house resting inside								1989-11-00/1989-11-00	Guinea	GAZ	00000909	11.323	-12.3
2404	2404 collection		house resting inside		outlet window trap						1989-08-00/1989-08-00	Guinea	GAZ	00000909	11.51	-12.46
2405	2405 collection		house resting inside		outlet window trap						1989-08-00/1989-08-00	Guinea	GAZ	00000909	11.51	-12.46
2406	2406 collection		house resting inside		outlet window trap						1989-09-00/1989-09-00	Guinea	GAZ	00000909	11.51	-12.46
2407	2407 collection		house resting inside		outlet window trap						1989-11-00/1989-11-00	Guinea	GAZ	00000909	11.51	-12.46
2408	2408 collection		house resting inside		outlet window trap						1989-12-00/1989-12-00	Guinea	GAZ	00000909	11.51	-12.46
2409	2409 collection		house resting inside		outlet window trap						1990-02-00/1990-02-00	Guinea	GAZ	00000909	11.51	-12.46
2410	2410 collection		house resting inside								1989-08-00/1989-08-00	Guinea	GAZ	00000909	11.201	-12.535
2411	2411 collection		house resting inside								1989-08-00/1989-08-00	Guinea	GAZ	00000909	11.201	-12.535
2412	2412 collection		house resting inside								1989-09-00/1989-09-00	Guinea	GAZ	00000909	11.201	-12.535
2417	2417 collection		house resting inside		larval collection						-00-00/-00-00	Kenya	GAZ	00001101	-0.0964	34.7557
2419	2419 collection		house resting inside								-00-00/-00-00	Burkina Faso	GAZ	00000905	11.016	-4.05
