Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Characteristics [species assay result (VBcv:0000961)]	Term Source REF	Term Accession Number
2277	2277.spid		morphology		chromosomal banding sequences		Anopheles arabiensis Patton, 1905	MIRO	40002224
2278	2278.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2279	2279.spid		morphology		chromosomal banding sequences		Anopheles arabiensis Patton, 1905	MIRO	40002224
2325	2325.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2326	2326.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2327	2327.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2328	2328.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2329	2329.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2330	2330.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2331	2331.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2341	2341.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2342	2342.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2343	2343.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2348	2348.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2354	2354.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2355	2355.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2356	2356.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2357	2357.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2358	2358.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2359	2359.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2360	2360.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2361	2361.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2362	2362.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2363	2363.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2364	2364.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2365	2365.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2366	2366.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2367	2367.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2371	2371.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2397	2397.spid		unknown				Anopheles moucheti Evans, 1925	MIRO	40003540
2399	2399.spid		unknown				Anopheles moucheti Evans, 1925	MIRO	40003540
2400	2400.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2401	2401.spid		unknown		chromosomal banding sequences		Anopheles gambiae Giles, 1902	MIRO	40003829
2402	2402.spid		unknown				Anopheles gambiae Giles, 1902	MIRO	40003829
2403	2403.spid		unknown				Anopheles gambiae Giles, 1902	MIRO	40003829
2404	2404.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2405	2405.spid		unknown		chromosomal banding sequences		Anopheles gambiae Giles, 1902	MIRO	40003829
2406	2406.spid		unknown		chromosomal banding sequences		Anopheles gambiae Giles, 1902	MIRO	40003829
2407	2407.spid		unknown				Anopheles gambiae Giles, 1902	MIRO	40003829
2408	2408.spid		unknown				Anopheles gambiae Giles, 1902	MIRO	40003829
2409	2409.spid		unknown				Anopheles gambiae Giles, 1902	MIRO	40003829
2410	2410.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2411	2411.spid		unknown		chromosomal banding sequences		Anopheles gambiae Giles, 1902	MIRO	40003829
2412	2412.spid		unknown				Anopheles gambiae Giles, 1902	MIRO	40003829
2417	2417.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2419	2419.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2421	2421.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2422	2422.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2423	2423.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2427	2427.spid		unknown				Anopheles nili species complex	MIRO	40003551
2428	2428.spid		unknown				Anopheles nili species complex	MIRO	40003551
2429	2429.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2430	2430.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2431	2431.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2435	2435.spid		unknown				Anopheles nili species complex	MIRO	40003551
2436	2436.spid		unknown				Anopheles nili species complex	MIRO	40003551
2437	2437.spid		morphology		chromosomal banding sequences		Anopheles arabiensis Patton, 1905	MIRO	40002224
2442	2442.spid		morphology		chromosomal banding sequences		Anopheles gambiae Giles, 1902	MIRO	40003829
2447	2447.spid		unknown		polymerase chain reaction method		Anopheles arabiensis Patton, 1905	MIRO	40002224
2452	2452.spid		unknown		polymerase chain reaction method		Anopheles arabiensis Patton, 1905	MIRO	40002224
2453	2453.spid		unknown		polymerase chain reaction method		Anopheles arabiensis Patton, 1905	MIRO	40002224
2462	2462.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2467	2467.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2468	2468.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2471	2471.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2473	2473.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2477	2477.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2480	2480.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2491	2491.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2501	2501.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2503	2503.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2507	2507.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2515	2515.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2521	2521.spid		morphology				Anopheles funestus Giles, 1900	MIRO	40003834
2526	2526.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2527	2527.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2528	2528.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2529	2529.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2530	2530.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2536	2536.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2537	2537.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2538	2538.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2539	2539.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2540	2540.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2541	2541.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2542	2542.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2543	2543.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2544	2544.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2545	2545.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2546	2546.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2547	2547.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2548	2548.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2549	2549.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2550	2550.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2551	2551.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2552	2552.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2553	2553.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2554	2554.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2555	2555.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2556	2556.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2557	2557.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2558	2558.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2559	2559.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2560	2560.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2569	2569.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2573	2573.spid		unknown		chromosomal banding sequences		Anopheles arabiensis Patton, 1905	MIRO	40002224
2574	2574.spid		unknown				Anopheles funestus Giles, 1900	MIRO	40003834
2580	2580.spid		unknown		chromosomal banding sequences		Anopheles gambiae Giles, 1902	MIRO	40003829
2581	2581.spid		unknown		chromosomal banding sequences		Anopheles arabiensis Patton, 1905	MIRO	40002224
2587	2587.spid		unknown		chromosomal banding sequences		Anopheles gambiae Giles, 1902	MIRO	40003829
2589	2589.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2590	2590.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2591	2591.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2592	2592.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2593	2593.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2594	2594.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2595	2595.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2596	2596.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2597	2597.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2598	2598.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2599	2599.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2600	2600.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2601	2601.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2602	2602.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2603	2603.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2604	2604.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2605	2605.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2606	2606.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2607	2607.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2608	2608.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2609	2609.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2610	2610.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2611	2611.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2612	2612.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2613	2613.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2614	2614.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2615	2615.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2616	2616.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2617	2617.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2618	2618.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2619	2619.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2620	2620.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2621	2621.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2622	2622.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2623	2623.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2624	2624.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2625	2625.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2626	2626.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2627	2627.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2628	2628.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2629	2629.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
2630	2630.spid		unknown				Anopheles arabiensis Patton, 1905	MIRO	40002224
