Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Date	Country	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)	 Characteristics [Collection site longitude (VBcv:0000816)
5083	5083 collection		man biting indoors		man biting outdoors		larval collection				1998-03-00/1998-07-00	Peru	GAZ	00002932	-3.6986	-73.2775
5084	5084 collection		man biting								2003-04-00/2003-04-00	Peru	GAZ	00002932	-3.828	-73.3577
5085	5085 collection		man biting								2003-05-00/2003-05-00	Peru	GAZ	00002932	-3.828	-73.3577
5086	5086 collection		man biting								2003-06-00/2003-06-00	Peru	GAZ	00002932	-3.828	-73.3577
5087	5087 collection		man biting								2003-07-00/2003-07-00	Peru	GAZ	00002932	-3.828	-73.3577
5088	5088 collection		man biting								2003-04-00/2003-04-00	Peru	GAZ	00002932	-3.8272	-73.3761
5089	5089 collection		man biting								2003-05-00/2003-05-00	Peru	GAZ	00002932	-3.8272	-73.3761
5090	5090 collection		man biting								2003-06-00/2003-06-00	Peru	GAZ	00002932	-3.8272	-73.3761
5091	5091 collection		man biting								2003-07-00/2003-07-00	Peru	GAZ	00002932	-3.8272	-73.3761
5092	5092 collection		man biting								2003-04-00/2003-04-00	Peru	GAZ	00002932	-3.8447	-73.3864
5093	5093 collection		man biting								2003-05-00/2003-05-00	Peru	GAZ	00002932	-3.8447	-73.3864
5094	5094 collection		man biting								2003-06-00/2003-06-00	Peru	GAZ	00002932	-3.8447	-73.3864
5095	5095 collection		man biting								2003-07-00/2003-07-00	Peru	GAZ	00002932	-3.8447	-73.3864
5096	5096 collection		man biting								2003-04-00/2003-07-00	Peru	GAZ	00002932	-3.8272	-73.3761
5098	5098 collection		larval collection								1993-09-00/1993-09-00	Colombia	GAZ	00002929	3.816	-77.001
5099	5099 collection		larval collection								1994-01-00/1994-01-00	Colombia	GAZ	00002929	3.816	-77.001
5100	5100 collection		larval collection								1994-09-00/1994-09-00	Colombia	GAZ	00002929	3.816	-77.001
5101	5101 collection		larval collection								1995-01-00/1995-01-00	Colombia	GAZ	00002929	3.816	-77.001
5102	5102 collection		larval collection								1995-09-00/1995-09-00	Colombia	GAZ	00002929	3.816	-77.001
5103	5103 collection		man biting								1993-09-00/1995-11-00	Colombia	GAZ	00002929	3.816	-77.001
5104	5104 collection		larval collection								1993-09-00/1993-09-00	Colombia	GAZ	00002929	3.816	-77.001
5105	5105 collection		larval collection								1994-01-00/1994-01-00	Colombia	GAZ	00002929	3.816	-77.001
5106	5106 collection		larval collection								1994-09-00/1994-09-00	Colombia	GAZ	00002929	3.816	-77.001
5107	5107 collection		larval collection								1995-01-00/1995-01-00	Colombia	GAZ	00002929	3.816	-77.001
5108	5108 collection		larval collection								1995-09-00/1995-09-00	Colombia	GAZ	00002929	3.816	-77.001
5109	5109 collection		man biting								1993-09-00/1995-11-00	Colombia	GAZ	00002929	3.816	-77.001
5110	5110 collection		unknown								-00-00/-00-00	Colombia	GAZ	00002929	6.683	-77.501
5111	5111 collection		unknown								1998-03-00/1998-05-00	Guatemala	GAZ	00002936	14.086	-91.147
5112	5112 collection		unknown								1998-03-00/1998-05-00	Guatemala	GAZ	00002936	14.278	-91.364
5113	5113 collection		unknown								1998-03-00/1998-05-00	Guatemala	GAZ	00002936	14.2	-91.301
5114	5114 collection		unknown								1998-03-00/1998-05-00	Guatemala	GAZ	00002936	14.2	-90.85
5115	5115 collection		unknown								1998-03-00/1998-05-00	Guatemala	GAZ	00002936	14.233	-90.95
5116	5116 collection		larval collection		indoor light trap		man biting indoors		man biting outdoors		1996-08-00/1996-08-00	Peru	GAZ	00002932	-4.94	-80.56
5117	5117 collection		larval collection		indoor light trap		man biting indoors		man biting outdoors		-00-00/-00-00	Peru	GAZ	00002932	-4.94	-80.56
5118	5118 collection		man biting outdoors								1983-03-00/1983-03-00	Suriname	GAZ	00002525	4.414	-54.432
5119	5119 collection		man biting outdoors								1983-05-00/1983-05-00	Suriname	GAZ	00002525	4.414	-54.432
5120	5120 collection		man biting outdoors								1983-07-00/1983-07-00	Suriname	GAZ	00002525	4.414	-54.432
5121	5121 collection		man biting outdoors								1983-08-00/1983-08-00	Suriname	GAZ	00002525	4.414	-54.432
5122	5122 collection		man biting outdoors								1983-09-00/1983-09-00	Suriname	GAZ	00002525	4.414	-54.432
5123	5123 collection		man biting outdoors								1983-10-00/1983-10-00	Suriname	GAZ	00002525	4.414	-54.432
5124	5124 collection		man biting outdoors								1983-12-00/1983-12-00	Suriname	GAZ	00002525	4.414	-54.432
5125	5125 collection		man biting outdoors								1984-02-00/1984-02-00	Suriname	GAZ	00002525	4.414	-54.432
5126	5126 collection		man biting outdoors								1984-03-00/1984-03-00	Suriname	GAZ	00002525	4.414	-54.432
5127	5127 collection		man biting outdoors								1984-05-00/1984-05-00	Suriname	GAZ	00002525	4.414	-54.432
5128	5128 collection		man biting indoors								1984-07-00/1984-07-00	Suriname	GAZ	00002525	4.414	-54.432
5129	5129 collection		man biting indoors								1984-08-00/1984-08-00	Suriname	GAZ	00002525	4.414	-54.432
5130	5130 collection		man biting indoors								1984-09-00/1984-09-00	Suriname	GAZ	00002525	4.414	-54.432
5131	5131 collection		man biting indoors								1984-10-00/1984-10-00	Suriname	GAZ	00002525	4.414	-54.432
5132	5132 collection		man biting indoors								1984-11-00/1984-11-00	Suriname	GAZ	00002525	4.414	-54.432
5133	5133 collection		outlet window trap								1984-12-00/1984-12-00	Suriname	GAZ	00002525	4.414	-54.432
5134	5134 collection		outlet window trap								1985-02-00/1985-02-00	Suriname	GAZ	00002525	4.414	-54.432
5135	5135 collection		outlet window trap								1985-03-00/1985-03-00	Suriname	GAZ	00002525	4.414	-54.432
5136	5136 collection		outlet window trap								1985-04-00/1985-04-00	Suriname	GAZ	00002525	4.414	-54.432
5137	5137 collection		outlet window trap								1985-06-00/1985-06-00	Suriname	GAZ	00002525	4.414	-54.432
5138	5138 collection		outlet window trap								1985-07-00/1985-07-00	Suriname	GAZ	00002525	4.414	-54.432
5139	5139 collection		outlet window trap								1985-08-00/1985-08-00	Suriname	GAZ	00002525	4.414	-54.432
5140	5140 collection		outlet window trap								1985-09-00/1985-09-00	Suriname	GAZ	00002525	4.414	-54.432
5141	5141 collection		outlet window trap								1985-10-00/1985-10-00	Suriname	GAZ	00002525	4.414	-54.432
5142	5142 collection		outlet window trap								1985-11-00/1985-11-00	Suriname	GAZ	00002525	4.414	-54.432
5143	5143 collection		outlet window trap								1985-12-00/1985-12-00	Suriname	GAZ	00002525	4.414	-54.432
5144	5144 collection		outlet window trap								1986-01-00/1986-01-00	Suriname	GAZ	00002525	4.414	-54.432
5145	5145 collection		outlet window trap								1986-02-00/1986-02-00	Suriname	GAZ	00002525	4.414	-54.432
5146	5146 collection		outlet window trap								1986-03-00/1986-03-00	Suriname	GAZ	00002525	4.414	-54.432
5147	5147 collection		outlet window trap								1986-04-00/1986-04-00	Suriname	GAZ	00002525	4.414	-54.432
5148	5148 collection		outlet window trap								1986-06-00/1986-06-00	Suriname	GAZ	00002525	4.414	-54.432
5149	5149 collection		outlet window trap								1986-07-00/1986-07-00	Suriname	GAZ	00002525	4.414	-54.432
5150	5150 collection		outlet window trap								1986-08-00/1986-08-00	Suriname	GAZ	00002525	4.414	-54.432
7903	7903 collection		larval collection		light trap		man biting outdoors				1990-02-00/1990-08-00	Brazil	GAZ	00002828	0.883	-51.992
7904	7904 collection		larval collection		light trap		man biting outdoors				1991-04-00/1991-09-00	Brazil	GAZ	00002828	0.883	-51.992
7905	7905 collection		larval collection		light trap		man biting outdoors				1992-06-00/1992-10-00	Brazil	GAZ	00002828	0.883	-51.992
7906	7906 collection		larval collection		light trap		man biting outdoors				1993-08-00/1993-11-00	Brazil	GAZ	00002828	0.883	-51.992
7907	7907 collection		larval collection		light trap		man biting outdoors				1990-02-00/1990-08-00	Brazil	GAZ	00002828	0.883	-51.992
7908	7908 collection		larval collection		light trap		man biting outdoors				1991-04-00/1991-09-00	Brazil	GAZ	00002828	0.883	-51.992
7909	7909 collection		resting outdoors		light trap		man biting		larval collection		1990-02-00/1990-08-00	Brazil	GAZ	00002828	0.886	-51.977
7910	7910 collection		resting outdoors		light trap		man biting		larval collection		1991-04-00/1991-09-00	Brazil	GAZ	00002828	0.886	-51.977
7911	7911 collection		resting outdoors		light trap		man biting		larval collection		1992-06-00/1992-10-00	Brazil	GAZ	00002828	0.886	-51.977
7912	7912 collection		resting outdoors		light trap		man biting		larval collection		1993-08-00/1993-11-00	Brazil	GAZ	00002828	0.886	-51.977
7913	7913 collection		resting outdoors		light trap		man biting		larval collection		1990-02-00/1990-08-00	Brazil	GAZ	00002828	0.886	-51.977
7914	7914 collection		resting outdoors		light trap		man biting		larval collection		1991-04-00/1991-09-00	Brazil	GAZ	00002828	0.886	-51.977
7915	7915 collection		resting outdoors		light trap		man biting		larval collection		1990-02-00/1990-08-00	Brazil	GAZ	00002828	0.884	-52.034
7916	7916 collection		resting outdoors		light trap		man biting		larval collection		1991-04-00/1991-09-00	Brazil	GAZ	00002828	0.884	-52.034
7917	7917 collection		resting outdoors		light trap		man biting		larval collection		1992-06-00/1992-10-00	Brazil	GAZ	00002828	0.884	-52.034
7918	7918 collection		resting outdoors		light trap		man biting		larval collection		1993-08-00/1993-11-00	Brazil	GAZ	00002828	0.884	-52.034
7919	7919 collection		resting outdoors		light trap		man biting		larval collection		1990-02-00/1990-08-00	Brazil	GAZ	00002828	0.884	-52.034
7920	7920 collection		resting outdoors		light trap		man biting		larval collection		1991-04-00/1991-09-00	Brazil	GAZ	00002828	0.884	-52.034
7921	7921 collection		resting outdoors		light trap		man biting		larval collection		1990-02-00/1990-02-00	Brazil	GAZ	00002828	1.133	-52
7922	7922 collection		resting outdoors		light trap		man biting		larval collection		1991-04-00/1991-04-00	Brazil	GAZ	00002828	1.133	-52
7923	7923 collection		resting outdoors		light trap		man biting		larval collection		1990-02-00/1990-02-00	Brazil	GAZ	00002828	1.133	-52
7924	7924 collection		resting outdoors		light trap		man biting		larval collection		1991-04-00/1991-04-00	Brazil	GAZ	00002828	1.133	-52
7925	7925 collection		resting outdoors		light trap		man biting		larval collection		1990-02-00/1990-02-00	Brazil	GAZ	00002828	1.133	-52
7926	7926 collection		resting outdoors		light trap		man biting		larval collection		1991-04-00/1991-04-00	Brazil	GAZ	00002828	1.133	-52
7983	7983 collection		larval collection								1985-04-00/1985-04-00	Colombia	GAZ	00002929	6.09	-77.396
7984	7984 collection		larval collection								1985-07-00/1985-07-00	Colombia	GAZ	00002929	6.09	-77.396
7985	7985 collection		larval collection								1985-08-00/1985-08-00	Colombia	GAZ	00002929	6.09	-77.396
7986	7986 collection		larval collection								1986-01-00/1986-01-00	Colombia	GAZ	00002929	6.09	-77.396
7987	7987 collection		larval collection								1983-02-00/1983-02-00	Colombia	GAZ	00002929	5.717	-77.263
7988	7988 collection		larval collection								1985-04-00/1985-04-00	Colombia	GAZ	00002929	5.717	-77.263
7989	7989 collection		larval collection								1985-07-00/1985-07-00	Colombia	GAZ	00002929	5.717	-77.263
7990	7990 collection		larval collection								1985-08-00/1985-08-00	Colombia	GAZ	00002929	5.717	-77.263
12777	12777 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	1.515	-50.9
12778	12778 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	0.0333	-51.1833
12780	12780 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	-4.272	-55.988
12781	12781 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	-2.959	-48.992
12782	12782 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	-1.438	-48.498
12783	12783 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	-1.7628	-48.8569
12784	12784 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	-1.199	-47.301
12785	12785 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	-1.881	-48.766
12786	12786 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	-1	-47.1833
12787	12787 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	2.826	-60.658
12788	12788 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	-10.252	-54.981
12789	12789 collection		man biting outdoors								-00-00/-00-00	Brazil	GAZ	00002828	-22.116	-48.302
12790	12790 collection		man biting outdoors								-00-00/-00-00	Peru	GAZ	00002932	-3.751	-73.193
12791	12791 collection		man biting outdoors								-00-00/-00-00	Belize	GAZ	00002934	16.3167	-88.7833
12792	12792 collection		man biting outdoors								-00-00/-00-00	Belize	GAZ	00002934	17.1167	-88.5667
12793	12793 collection		man biting outdoors								-00-00/-00-00	Colombia	GAZ	00002929	8.117	-74.767
12794	12794 collection		man biting outdoors								-00-00/-00-00	French Guiana	GAZ	00067144	5.413	-53.074
12795	12795 collection		man biting outdoors								-00-00/-00-00	Guatemala	GAZ	00002936	15.7833	-91.0833
12796	12796 collection		man biting outdoors								2003-07-00/2003-07-00	Bolivia	GAZ	00002511	-11.033	-66.017
12797	12797 collection		man biting outdoors								2003-07-00/2003-07-00	Bolivia	GAZ	00002511	-11.033	-66.017
12803	12803 collection		resting outdoors		animal shed resting		man biting outdoors				1997-00-00/1998-00-00	Brazil	GAZ	00002828	-0.0333	-51.0833
12804	12804 collection		resting outdoors		animal shed resting		man biting outdoors				1997-00-00/1998-00-00	Brazil	GAZ	00002828	-0.0333	-51.1833
12805	12805 collection		resting outdoors		animal shed resting		man biting outdoors				1997-00-00/1998-00-00	Brazil	GAZ	00002828	-0.036	-51.179
12806	12806 collection		resting outdoors		animal shed resting		man biting outdoors				1997-00-00/1998-00-00	Brazil	GAZ	00002828	-1.439	-48.499
12807	12807 collection		resting outdoors		animal shed resting		man biting outdoors				1997-00-00/1998-00-00	Brazil	GAZ	00002828	-1.6167	-48.6
12808	12808 collection		resting outdoors		animal shed resting		man biting outdoors				1997-00-00/1998-00-00	Brazil	GAZ	00002828	-1.882	-48.765
12809	12809 collection		resting outdoors		animal shed resting		man biting outdoors				1997-00-00/1998-00-00	Brazil	GAZ	00002828	-10.252	-54.981
12810	12810 collection		man biting indoors		man biting outdoors						1993-04-00/1993-04-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12811	12811 collection		man biting indoors		man biting outdoors						1993-05-00/1993-05-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12812	12812 collection		man biting indoors		man biting outdoors						1993-06-00/1993-06-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12813	12813 collection		man biting indoors		man biting outdoors						1993-07-00/1993-07-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12814	12814 collection		man biting indoors		man biting outdoors						1993-08-00/1993-08-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12815	12815 collection		man biting indoors		man biting outdoors						1993-09-00/1993-09-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12816	12816 collection		man biting indoors		man biting outdoors						1993-10-00/1993-10-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12817	12817 collection		man biting indoors		man biting outdoors						1993-11-00/1993-11-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12818	12818 collection		man biting indoors		man biting outdoors						1993-12-00/1993-12-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12819	12819 collection		man biting indoors		man biting outdoors						1994-01-00/1994-01-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12820	12820 collection		man biting indoors		man biting outdoors						1994-02-00/1994-02-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12821	12821 collection		man biting indoors		man biting outdoors						1994-03-00/1994-03-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12822	12822 collection		man biting indoors		man biting outdoors						1994-04-00/1994-04-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12823	12823 collection		man biting indoors		man biting outdoors						1994-05-00/1994-05-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12824	12824 collection		man biting indoors		man biting outdoors						1994-06-00/1994-06-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12825	12825 collection		human baited net trap		man biting outdoors						1993-04-00/1994-06-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12826	12826 collection		human baited net trap		larval collection						2000-08-00/2000-08-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12827	12827 collection		human baited net trap		man biting outdoors						1993-04-00/1994-06-00	Trinidad and Tobago	GAZ	00003767	10.6	-61.4
12828	12828 collection		house resting inside		resting outdoors		outside shelter natural				2002-04-00/2002-06-00	Brazil	GAZ	00002828	-10.621	-65.177
12834	12834 collection		man biting indoors		man biting outdoors		indoor light trap				1999-01-00/2000-04-00	Venezuala	GAZ	00002931	6.797	-61.483
12835	12835 collection		man biting indoors		man biting outdoors		indoor light trap				1999-01-00/2000-04-00	Venezuala	GAZ	00002931	6.797	-61.483
12836	12836 collection		man biting indoors		man biting outdoors		indoor light trap				1999-01-00/2000-04-00	Venezuala	GAZ	00002931	7.794	-61.173
12837	12837 collection		man biting indoors		man biting outdoors		indoor light trap				1999-01-00/2000-04-00	Venezuala	GAZ	00002931	7.794	-61.173
12838	12838 collection		man biting indoors		man biting outdoors		indoor light trap				1999-01-00/2000-04-00	Venezuala	GAZ	00002931	6.536	-61.593
12839	12839 collection		man biting indoors		man biting outdoors		indoor light trap				1999-01-00/2000-04-00	Venezuala	GAZ	00002931	6.536	-61.593
12840	12840 collection		man biting indoors		man biting outdoors		indoor light trap				1999-01-00/2000-04-00	Venezuala	GAZ	00002931	6.225	-61.308
12841	12841 collection		man biting indoors		man biting outdoors		indoor light trap				1999-01-00/2000-04-00	Venezuala	GAZ	00002931	7.567	-60.734
12844	12844 collection		man biting indoors		animal biting		resting outdoors		larval collection		2002-08-00/2003-04-00	Colombia	GAZ	00002929	4.1056	-73.6177
12845	12845 collection		man biting indoors		animal biting		resting outdoors		larval collection		2002-08-00/2003-04-00	Colombia	GAZ	00002929	4.1056	-73.6177
12846	12846 collection		man biting								-00-00/-00-00	Brazil	GAZ	00002828	-8.608	-63.61
12847	12847 collection		man biting indoors		man biting outdoors		resting outdoors				2002-07-00/2003-06-00	Belize	GAZ	00002934	17.1665	-88.6027
12849	12849 collection		man biting indoors		man biting outdoors		resting outdoors				2002-07-00/2003-06-00	Belize	GAZ	00002934	17.1665	-88.6027
12850	12850 collection		man biting indoors		man biting outdoors		resting outdoors				2002-07-00/2003-06-00	Belize	GAZ	00002934	17.1665	-88.6027
12851	12851 collection		man biting		light trap						1997-02-00/2000-12-00	Brazil	GAZ	00002828	-20	-47.7333
12852	12852 collection		man biting		light trap						1997-02-00/2000-12-00	Brazil	GAZ	00002828	-20	-47.7333
12853	12853 collection		man biting		light trap						1997-02-00/2000-12-00	Brazil	GAZ	00002828	-20	-47.6667
12854	12854 collection		man biting		light trap						1997-02-00/2000-12-00	Brazil	GAZ	00002828	-20	-47.6667
12856	12856 collection		man biting		light trap						1997-02-00/2000-12-00	Brazil	GAZ	00002828	-20	-47.4333
12857	12857 collection		man biting		light trap						1997-02-00/2000-12-00	Brazil	GAZ	00002828	-20	-47.4333
12859	12859 collection		man biting		light trap						1997-02-00/2000-12-00	Brazil	GAZ	00002828	-20	-47.6
12861	12861 collection		man biting		light trap						1997-02-00/2000-12-00	Brazil	GAZ	00002828	-20	-47.6
12862	12862 collection		larval collection		man biting						-00-00/-00-00	Colombia	GAZ	00002929	5.7	-76.65
12863	12863 collection		larval collection		man biting						-00-00/-00-00	Colombia	GAZ	00002929	3.8833	-77.05
12864	12864 collection		larval collection		man biting						-00-00/-00-00	Colombia	GAZ	00002929	8.6433	-72.7333
12865	12865 collection		larval collection		man biting						-00-00/-00-00	Colombia	GAZ	00002929	8.2608	-72.3919
12866	12866 collection		animal shed resting								1999-05-00/1999-05-00	Cuba	GAZ	00003762	23.134	-82.406
12867	12867 collection		animal shed resting								1998-12-00/1998-12-00	Mexico	GAZ	00002852	15.1167	-92.5667
12868	12868 collection		animal shed resting								1998-12-00/1998-12-00	Mexico	GAZ	00002852	16.035	-93.718
12869	12869 collection		animal shed resting								1998-12-00/1998-12-00	Mexico	GAZ	00002852	15.767	-92.2
12874	12874 collection		animal shed resting								1995-03-00/1995-03-00	Guatemala	GAZ	00002936	15.257	-89.101
12875	12875 collection		animal shed resting								1995-07-00/1995-07-00	Guatemala	GAZ	00002936	15.257	-89.101
12876	12876 collection		animal shed resting								1995-09-00/1995-09-00	Guatemala	GAZ	00002936	15.257	-89.101
12891	12891 collection		animal shed resting								1995-03-00/1995-03-00	Guatemala	GAZ	00002936	14.7167	-89.15
12892	12892 collection		animal shed resting								1996-02-00/1996-02-00	Guatemala	GAZ	00002936	14.7167	-89.15
12893	12893 collection		animal shed resting								1996-03-00/1996-03-00	Guatemala	GAZ	00002936	14.7167	-89.15
12903	12903 collection		animal shed resting								1995-07-00/1995-07-00	Guatemala	GAZ	00002936	14.951	-89.535
12904	12904 collection		animal shed resting								1995-09-00/1995-09-00	Guatemala	GAZ	00002936	14.951	-89.535
12905	12905 collection		animal shed resting								1996-02-00/1996-02-00	Guatemala	GAZ	00002936	14.951	-89.535
12906	12906 collection		animal shed resting								1998-10-00/1998-10-00	El Salvador	GAZ	00002935	13.468	-89.168
12907	12907 collection		animal shed resting								1998-10-00/1998-10-00	El Salvador	GAZ	00002935	13.484	-89.25
12912	12912 collection		animal shed resting								1999-04-00/1999-04-00	Costa Rica	GAZ	00002901	9.867	-83
12913	12913 collection		animal shed resting								1999-04-00/1999-04-00	Costa Rica	GAZ	00002901	10.0833	-83.3333
12914	12914 collection		animal shed resting								1995-00-00/1995-00-00	Costa Rica	GAZ	00002901	9.969	-84.838
12917	12917 collection		animal shed resting								1991-00-00/1991-00-00	Colombia	GAZ	00002929	3.145	-77.338
12920	12920 collection		man biting indoors		man biting outdoors		light trap				1997-01-00/1999-12-00	Brazil	GAZ	00002828	-13.8241	-48.3157
12921	12921 collection		man biting indoors		man biting outdoors		light trap				1997-01-00/1999-12-00	Brazil	GAZ	00002828	-13.8241	-48.3157
12922	12922 collection		man biting indoors		man biting outdoors		light trap				1997-01-00/1999-12-00	Brazil	GAZ	00002828	-14.094	-48.9976
12923	12923 collection		man biting indoors		man biting outdoors		light trap				1997-01-00/1999-12-00	Brazil	GAZ	00002828	-14.094	-48.9976
12924	12924 collection		man biting indoors		man biting outdoors		light trap				1997-01-00/1999-12-00	Brazil	GAZ	00002828	-14.5345	-49.0188
12925	12925 collection		man biting indoors		man biting outdoors		light trap				1997-01-00/1999-12-00	Brazil	GAZ	00002828	-14.5345	-49.0188
12926	12926 collection		man biting indoors		man biting outdoors		light trap				1997-01-00/1999-12-00	Brazil	GAZ	00002828	-14.6633	-48.9598
12927	12927 collection		man biting indoors		man biting outdoors		light trap				1997-01-00/1999-12-00	Brazil	GAZ	00002828	-14.6633	-48.9598
12928	12928 collection		man biting indoors		man biting outdoors		light trap				1997-01-00/1999-12-00	Brazil	GAZ	00002828	-14.4475	-48.9596
12929	12929 collection		man biting indoors		man biting outdoors		light trap				1997-01-00/1999-12-00	Brazil	GAZ	00002828	-14.4475	-48.9596
13035	13035 collection		man biting								1996-05-00/1996-05-00	Brazil	GAZ	00002828	-24.5	-47.8333
13036	13036 collection		man biting								1996-06-00/1996-06-00	Brazil	GAZ	00002828	-24.5	-47.8333
13037	13037 collection		man biting								1996-07-00/1996-07-00	Brazil	GAZ	00002828	-24.5	-47.8333
13038	13038 collection		man biting								1996-08-00/1996-08-00	Brazil	GAZ	00002828	-24.5	-47.8333
13039	13039 collection		man biting								1996-09-00/1996-09-00	Brazil	GAZ	00002828	-24.5	-47.8333
13040	13040 collection		man biting								1996-10-00/1996-10-00	Brazil	GAZ	00002828	-24.5	-47.8333
13041	13041 collection		man biting								1996-11-00/1996-11-00	Brazil	GAZ	00002828	-24.5	-47.8333
13042	13042 collection		man biting								1996-12-00/1996-12-00	Brazil	GAZ	00002828	-24.5	-47.8333
13043	13043 collection		man biting								1997-01-00/1997-01-00	Brazil	GAZ	00002828	-24.5	-47.8333
13044	13044 collection		man biting								1997-02-00/1997-02-00	Brazil	GAZ	00002828	-24.5	-47.8333
13045	13045 collection		man biting								1997-03-00/1997-03-00	Brazil	GAZ	00002828	-24.5	-47.8333
13046	13046 collection		man biting								1997-04-00/1997-04-00	Brazil	GAZ	00002828	-24.5	-47.8333
13047	13047 collection		man biting								1997-05-00/1997-05-00	Brazil	GAZ	00002828	-24.5	-47.8333
13048	13048 collection		man biting								1997-06-00/1997-06-00	Brazil	GAZ	00002828	-24.5	-47.8333
13049	13049 collection		man biting								1997-07-00/1997-07-00	Brazil	GAZ	00002828	-24.5	-47.8333
13050	13050 collection		man biting								1997-08-00/1997-08-00	Brazil	GAZ	00002828	-24.5	-47.8333
13051	13051 collection		man biting								1997-09-00/1997-09-00	Brazil	GAZ	00002828	-24.5	-47.8333
13052	13052 collection		man biting								1997-10-00/1997-10-00	Brazil	GAZ	00002828	-24.5	-47.8333
13053	13053 collection		man biting								1997-11-00/1997-11-00	Brazil	GAZ	00002828	-24.5	-47.8333
13054	13054 collection		man biting								1997-12-00/1997-12-00	Brazil	GAZ	00002828	-24.5	-47.8333
13055	13055 collection		man biting								1998-01-00/1998-01-00	Brazil	GAZ	00002828	-24.5	-47.8333
13056	13056 collection		man biting								1998-02-00/1998-02-00	Brazil	GAZ	00002828	-24.5	-47.8333
13057	13057 collection		man biting								1998-03-00/1998-03-00	Brazil	GAZ	00002828	-24.5	-47.8333
13058	13058 collection		man biting								1998-04-00/1998-04-00	Brazil	GAZ	00002828	-24.5	-47.8333
