Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Characteristics [species assay result (VBcv:0000961)]	Term Source REF	Term Accession Number
1	1.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
2	2.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
3	3.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
6	6.spid		morphology				Anopheles maculatus Group	MIRO	40003525
7	7.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
8	8.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
9	9.spid		morphology				Anopheles maculatus Group	MIRO	40003525
10	10.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
11	11.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
12	12.spid		morphology				Anopheles maculatus Group	MIRO	40003525
13	13.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
14	14.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
21	21.spid		morphology				Anopheles maculatus Group	MIRO	40003525
22	22.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
23	23.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
24	24.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
25	25.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
26	26.spid		morphology				Anopheles maculatus Group	MIRO	40003525
27	27.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
28	28.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
35	35.spid		morphology				Anopheles maculatus Group	MIRO	40003525
36	36.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
37	37.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
38	38.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
39	39.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
40	40.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
41	41.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
48	48.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
49	49.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
50	50.spid		morphology				Anopheles maculatus Group	MIRO	40003525
51	51.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
52	52.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
53	53.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
54	54.spid		morphology				Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282
73	73.spid		morphology		Octanol dehydrogenase alloenzyme		Anopheles minimus species complex	MIRO	40003537
74	74.spid		morphology		Octanol dehydrogenase alloenzyme		Anopheles minimus species complex	MIRO	40003537
75	75.spid		morphology		Octanol dehydrogenase alloenzyme		Anopheles minimus species complex	MIRO	40003537
76	76.spid						Anopheles minimus species complex	MIRO	40003537
77	77.spid						Anopheles minimus species complex	MIRO	40003537
78	78.spid		morphology		Octanol dehydrogenase alloenzyme		Anopheles minimus species complex	MIRO	40003537
85	85.spid		morphology				Anopheles minimus species complex	MIRO	40003537
86	86.spid		morphology				Anopheles minimus species complex	MIRO	40003537
87	87.spid		morphology				Anopheles minimus species complex	MIRO	40003537
88	88.spid		morphology				Anopheles minimus species complex	MIRO	40003537
89	89.spid		morphology				Anopheles minimus species complex	MIRO	40003537
90	90.spid		morphology				Anopheles minimus species complex	MIRO	40003537
91	91.spid		morphology				Anopheles minimus species complex	MIRO	40003537
92	92.spid		morphology				Anopheles minimus species complex	MIRO	40003537
93	93.spid		morphology				Anopheles minimus species complex	MIRO	40003537
94	94.spid		morphology				Anopheles minimus species complex	MIRO	40003537
95	95.spid		morphology				Anopheles minimus species complex	MIRO	40003537
96	96.spid		morphology				Anopheles minimus species complex	MIRO	40003537
97	97.spid		morphology				Anopheles minimus species complex	MIRO	40003537
98	98.spid		morphology				Anopheles minimus species complex	MIRO	40003537
99	99.spid		morphology				Anopheles minimus species complex	MIRO	40003537
100	100.spid		morphology				Anopheles minimus species complex	MIRO	40003537
101	101.spid		morphology				Anopheles minimus species complex	MIRO	40003537
102	102.spid		morphology				Anopheles minimus species complex	MIRO	40003537
103	103.spid		morphology				Anopheles minimus species complex	MIRO	40003537
104	104.spid		morphology				Anopheles minimus species complex	MIRO	40003537
105	105.spid		morphology				Anopheles minimus species complex	MIRO	40003537
106	106.spid		morphology				Anopheles minimus species complex	MIRO	40003537
107	107.spid		morphology				Anopheles minimus species complex	MIRO	40003537
108	108.spid		morphology				Anopheles minimus species complex	MIRO	40003537
109	109.spid		morphology				Anopheles dirus species complex	MIRO	40002263
110	110.spid		morphology				Anopheles dirus species complex	MIRO	40002263
111	111.spid		morphology				Anopheles dirus species complex	MIRO	40002263
112	112.spid		morphology				Anopheles dirus species complex	MIRO	40002263
113	113.spid		morphology				Anopheles dirus species complex	MIRO	40002263
114	114.spid		morphology				Anopheles dirus species complex	MIRO	40002263
115	115.spid		morphology				Anopheles dirus species complex	MIRO	40002263
116	116.spid		morphology				Anopheles dirus species complex	MIRO	40002263
117	117.spid		morphology				Anopheles dirus species complex	MIRO	40002263
118	118.spid		morphology				Anopheles dirus species complex	MIRO	40002263
119	119.spid		morphology				Anopheles dirus species complex	MIRO	40002263
120	120.spid		morphology				Anopheles dirus species complex	MIRO	40002263
121	121.spid		morphology				Anopheles dirus species complex	MIRO	40002263
122	122.spid		morphology				Anopheles dirus species complex	MIRO	40002263
123	123.spid		morphology				Anopheles dirus species complex	MIRO	40002263
124	124.spid		morphology				Anopheles dirus species complex	MIRO	40002263
125	125.spid		morphology				Anopheles dirus species complex	MIRO	40002263
126	126.spid		morphology				Anopheles dirus species complex	MIRO	40002263
127	127.spid		morphology				Anopheles dirus species complex	MIRO	40002263
128	128.spid		morphology				Anopheles dirus species complex	MIRO	40002263
129	129.spid		morphology				Anopheles dirus species complex	MIRO	40002263
130	130.spid		morphology				Anopheles dirus species complex	MIRO	40002263
131	131.spid		morphology				Anopheles dirus species complex	MIRO	40002263
132	132.spid		morphology				Anopheles dirus species complex	MIRO	40002263
134	134.spid		unknown				Anopheles minimus species complex	MIRO	40003537
135	135.spid		unknown				Anopheles barbirostris species complex	MIRO	40000041
136	136.spid		unknown				Anopheles maculatus Group	MIRO	40003525
137	137.spid		morphology				Anopheles minimus species complex	MIRO	40003537
138	138.spid		morphology				Anopheles minimus species complex	MIRO	40003537
139	139.spid		morphology				Anopheles minimus species complex	MIRO	40003537
140	140.spid		morphology				Anopheles minimus species complex	MIRO	40003537
141	141.spid		morphology				Anopheles minimus species complex	MIRO	40003537
142	142.spid		unknown				Anopheles minimus species complex	MIRO	40003537
143	143.spid		morphology		DNA probe		Anopheles dirus species complex	MIRO	40002263
144	144.spid		morphology		DNA probe		Anopheles dirus species complex	MIRO	40002263
145	145.spid		morphology		DNA probe		Anopheles dirus species complex	MIRO	40002263
146	146.spid		morphology		DNA probe		Anopheles dirus species complex	MIRO	40002263
147	147.spid		morphology		DNA probe		Anopheles dirus species complex	MIRO	40002263
148	148.spid		unknown				Anopheles dirus species complex	MIRO	40002263
149	149.spid		unknown				Anopheles dirus species complex	MIRO	40002263
150	150.spid		unknown				Anopheles dirus species complex	MIRO	40002263
151	151.spid		unknown				Anopheles dirus species complex	MIRO	40002263
152	152.spid		unknown				Anopheles dirus species complex	MIRO	40002263
153	153.spid		unknown				Anopheles dirus species complex	MIRO	40002263
154	154.spid		unknown				Anopheles dirus species complex	MIRO	40002263
155	155.spid		unknown				Anopheles dirus species complex	MIRO	40002263
156	156.spid		unknown				Anopheles dirus species complex	MIRO	40002263
157	157.spid		unknown				Anopheles dirus species complex	MIRO	40002263
158	158.spid		unknown				Anopheles dirus species complex	MIRO	40002263
159	159.spid		unknown				Anopheles dirus species complex	MIRO	40002263
160	160.spid		unknown				Anopheles dirus species complex	MIRO	40002263
161	161.spid		unknown				Anopheles dirus species complex	MIRO	40002263
