Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Characteristics [species assay result (VBcv:0000961)]	Term Source REF	Term Accession Number
3995	3995.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
3996	3996.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
3997	3997.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
3998	3998.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
3999	3999.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4000	4000.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4001	4001.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4002	4002.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4003	4003.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4004	4004.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4005	4005.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4006	4006.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4007	4007.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4008	4008.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4009	4009.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4010	4010.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4011	4011.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4012	4012.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4013	4013.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4014	4014.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4015	4015.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4016	4016.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4017	4017.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4018	4018.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4043	4043.spid		unknown				Anopheles superpictus Grassi, 1899	MIRO	40003606
4044	4044.spid		unknown				Anopheles sacharovi Favre, 1903	MIRO	40003445
4399	4399.spid		unknown		not applicable		Anopheles superpictus Grassi, 1899	MIRO	40003606
8444	8444.spid		morphology		polymerase chain reaction method		Anopheles sacharovi Favre, 1903	MIRO	40003445
