id,latitude,longitude,country id,species,year start,year end,month start,month end,id method1,id method2,sample method1,sample method2,sample method3,sample method4,ASSI,citation
3995,37.75,39.6666,TUR,"Anopheles (Anopheles) sacharovi Favre, 1903",2000,2000,6,6,unknown,,light trap,human baited net trap,animal baited net trap,,,"Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107"
3996,37.75,39.6666,TUR,"Anopheles (Anopheles) sacharovi Favre, 1903",2000,2000,7,7,unknown,,light trap,human baited net trap,animal baited net trap,,,"Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107"
3997,37.75,39.6666,TUR,"Anopheles (Anopheles) sacharovi Favre, 1903",2000,2000,8,8,unknown,,light trap,human baited net trap,animal baited net trap,,,"Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107"
3998,37.75,39.6666,TUR,"Anopheles (Anopheles) sacharovi Favre, 1903",2000,2000,9,9,unknown,,light trap,human baited net trap,animal baited net trap,,,"Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107"
3999,37.75,39.6666,TUR,"Anopheles (Anopheles) sacharovi Favre, 1903",2000,2000,10,10,unknown,,light trap,human baited net trap,animal baited net trap,,,"Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107"
4000,37.75,39.6666,TUR,"Anopheles (Anopheles) sacharovi Favre, 1903",2000,2000,11,11,unknown,,light trap,human baited net trap,animal baited net trap,,,"Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107"
4001,37.75,39.6666,TUR,"Anopheles (Anopheles) sacharovi Favre, 1903",2000,2000,12,12,unknown,,light trap,human baited net trap,animal baited net trap,,,"Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107"
4002,37.75,39.6666,TUR,"Anopheles (Anopheles) sacharovi Favre, 1903",2001,2001,1,1,unknown,,light trap,human baited net trap,animal baited net trap,,,"Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107"
4003,37.75,39.6666,TUR,"Anopheles (Anopheles) sacharovi Favre, 1903",2001,2001,2,2,unknown,,light trap,human baited net trap,animal baited net trap,,,"Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107"
4004,37.75,39.6666,TUR,"Anopheles (Anopheles) sacharovi Favre, 1903",2001,2001,3,3,unknown,,light trap,human baited net trap,animal baited net trap,,,"Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107"
