Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.52969	MAP.52969.collection		house resting inside	man biting indoors	man biting outdoors		1991-06/1991-06	Sudan	GAZ	00000560	15.562	32.567
MAP.11408	MAP.11408.collection		house resting inside				2004-06/2004-06	Kenya	GAZ	00001101	-0.5794	34.7991
MAP.61884	MAP.61884.collection		house resting inside				2006-09/2006-09	Senegal	GAZ	00000913	13.35	-13.335
MAP.3525	MAP.3525.collection		house resting inside				2002-03/2002-03	Kenya	GAZ	00001101	-0.5667	37.45
MAP.40951	MAP.40951.collection		house resting inside					Tanzania	GAZ	00001103	-6.446	38.899
MAP.40952	MAP.40951.collection		house resting inside					Tanzania	GAZ	00001103	-6.446	38.899
MAP.3492	MAP.3492.collection		house resting inside				2002-03/2002-03	Kenya	GAZ	00001101	-0.617	37.249
MAP.10080	MAP.10080.collection		man biting indoors	man biting outdoors			1994-02/1994-02	Senegal	GAZ	00000913	13.716	-16.418
MAP.10118	MAP.10080.collection		man biting indoors	man biting outdoors			1994-02/1994-02	Senegal	GAZ	00000913	13.716	-16.418
MAP.10156	MAP.10080.collection		man biting indoors	man biting outdoors			1994-02/1994-02	Senegal	GAZ	00000913	13.716	-16.418
MAP.45822	MAP.45822.collection		larval collection				2005-04/2005-06	Kenya	GAZ	00001101	-1.0783	36.2188
MAP.42279	MAP.42279.collection						2005-00/2005-00	Cameroon	GAZ	00001093	3.383	11.532
MAP.53362	MAP.53362.collection		larval collection	house resting inside			1999-04/1999-04	Kenya	GAZ	00001101	-0.4	35.25
MAP.7190	MAP.7190.collection		house resting inside	man biting indoors			1990-04/1990-04	Kenya	GAZ	00001101	-0.183	34.916
MAP.11912	MAP.11912.collection		outside shelter natural	outside shelter artificial			1992-05/1993-04	Ethiopia	GAZ	00000567	8.5	39.2
MAP.4944	MAP.4944.collection		larval collection				2000-03/2000-12	Ethiopia	GAZ	00000567	14.283	38.195
MAP.64432	MAP.64432.collection		house resting inside				1997-06/1997-06	Kenya	GAZ	00001101	-0.4974	34.3306
MAP.5034	MAP.5034.collection		man biting				2002-06/2002-06	Côte d'Ivoire	GAZ	00000906	6.866	-5.4
MAP.4872	MAP.4872.collection		house resting inside	man biting			1992-09/1992-09	Ethiopia	GAZ	00000567	8.5	39.2
MAP.41522	MAP.41522.collection		man biting indoors				2001-03/2001-03	Madagascar	GAZ	00001108	-19.5833	46.3667
MAP.41523	MAP.41522.collection		man biting indoors				2001-03/2001-03	Madagascar	GAZ	00001108	-19.5833	46.3667
MAP.41524	MAP.41522.collection		man biting indoors				2001-03/2001-03	Madagascar	GAZ	00001108	-19.5833	46.3667
MAP.7510	MAP.7510.collection		man biting indoors				1991-11/1991-11	Cameroon	GAZ	00001093	3.683	11.533
MAP.6647	MAP.6647.collection		indoor light trap				1993-10/1993-10	Tanzania	GAZ	00001103	-8.099	36.482
MAP.10704	MAP.10704.collection		man biting indoors	man biting outdoors	house resting inside		2000-12/2000-12	Cameroon	GAZ	00001093	3.515	11.498
MAP.10720	MAP.10704.collection		man biting indoors	man biting outdoors	house resting inside		2000-12/2000-12	Cameroon	GAZ	00001093	3.515	11.498
MAP.10681	MAP.10681.collection		indoor light trap				1992-01/1992-12	Tanzania	GAZ	00001103	-8.233	36.166
MAP.7179	MAP.7179.collection		house resting inside				1989-05/1989-05	Kenya	GAZ	00001101	-0.183	34.916
MAP.7194	MAP.7179.collection		house resting inside				1989-05/1989-05	Kenya	GAZ	00001101	-0.183	34.916
MAP.6111	MAP.6111.collection		outside shelter artificial				1988-11/1989-02	Madagascar	GAZ	00001108	-18.967	47.266
MAP.30167	MAP.30167.collection							South Africa	GAZ	00001094	-27.0333	32.2667
MAP.6121	MAP.6121.collection		man biting indoors	man biting outdoors	house resting inside	outside shelter artificial	1989-07/1989-07	Madagascar	GAZ	00001108	-18.967	47.266
MAP.41618	MAP.41618.collection		man biting indoors	man biting outdoors			2001-02/2001-02	Madagascar	GAZ	00001108	-21.248	48.302
MAP.41619	MAP.41618.collection		man biting indoors	man biting outdoors			2001-02/2001-02	Madagascar	GAZ	00001108	-21.248	48.302
MAP.41620	MAP.41618.collection		man biting indoors	man biting outdoors			2001-02/2001-02	Madagascar	GAZ	00001108	-21.248	48.302
MAP.12663	MAP.12663.collection		house resting inside	animal baited net trap	outdoor light trap		2001-06/2001-06	Kenya	GAZ	00001101	-0.7	37.3667
MAP.10312	MAP.10312.collection		house resting inside	outlet window trap			1987-06/1987-06	Gambia	GAZ	00000907	13.5843	-15.8505
MAP.10726	MAP.10726.collection		man biting indoors	man biting outdoors	house resting inside		2000-06/2000-06	Cameroon	GAZ	00001093	3.435	11.282
MAP.10734	MAP.10726.collection		man biting indoors	man biting outdoors	house resting inside		2000-06/2000-06	Cameroon	GAZ	00001093	3.435	11.282
