Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Characteristics [species assay result (VBcv:0000961)]	Term Source REF	Term Accession Number	Comment [ASSI]
MAP.2277	MAP.2277.spid		morphology	chromosomal banding sequences	Anopheles arabiensis Patton, 1905	MIRO	40002224	
MAP.2278	MAP.2278.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2279	MAP.2279.spid		morphology	chromosomal banding sequences	Anopheles arabiensis Patton, 1905	MIRO	40002224	
MAP.2325	MAP.2325.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2326	MAP.2326.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2327	MAP.2327.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2328	MAP.2328.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2329	MAP.2329.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2330	MAP.2330.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2331	MAP.2331.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2341	MAP.2341.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2342	MAP.2342.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2343	MAP.2343.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2348	MAP.2348.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2354	MAP.2354.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2355	MAP.2355.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2356	MAP.2356.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2357	MAP.2357.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2358	MAP.2358.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2359	MAP.2359.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2360	MAP.2360.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2361	MAP.2361.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2362	MAP.2362.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2363	MAP.2363.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2364	MAP.2364.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2365	MAP.2365.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2366	MAP.2366.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2367	MAP.2367.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2371	MAP.2371.spid		morphology		Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2397	MAP.2397.spid				Anopheles moucheti Evans, 1925	MIRO	40003540	
MAP.2399	MAP.2399.spid				Anopheles moucheti Evans, 1925	MIRO	40003540	
MAP.2400	MAP.2400.spid				Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2401	MAP.2401.spid			chromosomal banding sequences	Anopheles gambiae Giles, 1902	MIRO	40003829	
MAP.2402	MAP.2402.spid				Anopheles gambiae Giles, 1902	MIRO	40003829	
MAP.2403	MAP.2403.spid				Anopheles gambiae Giles, 1902	MIRO	40003829	
MAP.2404	MAP.2404.spid				Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2405	MAP.2405.spid			chromosomal banding sequences	Anopheles gambiae Giles, 1902	MIRO	40003829	
MAP.2406	MAP.2406.spid			chromosomal banding sequences	Anopheles gambiae Giles, 1902	MIRO	40003829	
MAP.2407	MAP.2407.spid				Anopheles gambiae Giles, 1902	MIRO	40003829	
MAP.2408	MAP.2408.spid				Anopheles gambiae Giles, 1902	MIRO	40003829	
MAP.2409	MAP.2409.spid				Anopheles gambiae Giles, 1902	MIRO	40003829	
MAP.2410	MAP.2410.spid				Anopheles funestus Giles, 1900	MIRO	40003834	
MAP.2411	MAP.2411.spid			chromosomal banding sequences	Anopheles gambiae Giles, 1902	MIRO	40003829	
