Source Name	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Source	Comment [PubMed ID]	Comment [MAP ID]
malariaAtlas	MAP.2277		population	OBI	0000181	Abose, T. (1998). <i>Re-orientation and definition of the role of malaria vector control in Ethiopia. The epidemiology and control of malaria with special emphasis on the distribution, behaviour and susceptibility of insecticides of anopheline vectors and chloroquine resistance in Zwai, central Ethiopia and other areas.</i> WHO/MAL/98.1085. Addis Ababa, Ethiopia: World Health Organization, Division of Control of Tropical Diseases 61pg.		MAP.2277
malariaAtlas	MAP.2278		population	OBI	0000181	Abose, T. (1998). <i>Re-orientation and definition of the role of malaria vector control in Ethiopia. The epidemiology and control of malaria with special emphasis on the distribution, behaviour and susceptibility of insecticides of anopheline vectors and chloroquine resistance in Zwai, central Ethiopia and other areas.</i> WHO/MAL/98.1085. Addis Ababa, Ethiopia: World Health Organization, Division of Control of Tropical Diseases 61pg.		MAP.2278
malariaAtlas	MAP.2279		population	OBI	0000181	Abose, T. (1998). <i>Re-orientation and definition of the role of malaria vector control in Ethiopia. The epidemiology and control of malaria with special emphasis on the distribution, behaviour and susceptibility of insecticides of anopheline vectors and chloroquine resistance in Zwai, central Ethiopia and other areas.</i> WHO/MAL/98.1085. Addis Ababa, Ethiopia: World Health Organization, Division of Control of Tropical Diseases 61pg.		MAP.2279
malariaAtlas	MAP.2325		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2325
malariaAtlas	MAP.2326		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2326
malariaAtlas	MAP.2327		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2327
malariaAtlas	MAP.2328		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2328
malariaAtlas	MAP.2329		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2329
malariaAtlas	MAP.2330		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2330
malariaAtlas	MAP.2331		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2331
