Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.14289	MAP.14289.collection		larval collection	resting outdoors	animal shed resting		1988-10/1988-10	United States of America	GAZ	00002459	27.733	-80.73
MAP.14706	MAP.14706.collection		larval collection				1993-08/1993-08	Belize	GAZ	00002934	17.478	-88.331
MAP.39692	MAP.39692.collection		outside shelter artificial				2004-07/2004-07	United States of America	GAZ	00002459	30.6585	-96.3633
MAP.42374	MAP.42374.collection		man biting outdoors				2001-10/2001-10	Suriname	GAZ	00002525	3.376	-54.061
MAP.14496	MAP.14496.collection		larval collection					Mexico	GAZ	00002852	14.822	-92.53
MAP.14325	MAP.14325.collection		larval collection	resting outdoors	animal shed resting		1986-06/1986-06	United States of America	GAZ	00002459	30.221	-92.653
MAP.14386	MAP.14386.collection		larval collection	resting outdoors	animal shed resting		1994-08/1994-08	United States of America	GAZ	00002459	31.761	-93.099
MAP.64218	MAP.64218.collection		carbon dioxide baited net trap				2004-05/2004-05	Argentina	GAZ	00002928	-22.733	-64.368
MAP.14285	MAP.14285.collection		larval collection	resting outdoors	animal shed resting		1995-06/1995-06	United States of America	GAZ	00002459	30.072	-92.507
MAP.15196	MAP.15196.collection		larval collection				1987-07/1987-07	United States of America	GAZ	00002459	38.8703	-121.7064
MAP.14799	MAP.14799.collection		man biting outdoors	animal biting outdoors				Brazil	GAZ	00002828	-8.8	-63.9
MAP.30467	MAP.30467.collection		man biting	house resting inside			1991-00/1998-00	Argentina	GAZ	00002928	-27.397	-55.906
MAP.64227	MAP.64227.collection		carbon dioxide baited net trap				2005-02/2005-02	Argentina	GAZ	00002928	-22.733	-64.368
MAP.14652	MAP.14652.collection		man biting indoors	man biting outdoors			1993-04/1993-05	Belize	GAZ	00002934	17.1539	-88.7451
MAP.14653	MAP.14652.collection		man biting indoors	man biting outdoors			1993-04/1993-05	Belize	GAZ	00002934	17.1539	-88.7451
MAP.13382	MAP.13382.collection		larval collection				1998-09/1998-09	Venezuala	GAZ	00002931	10.57	-62.579
MAP.62850	MAP.62850.collection		man biting outdoors				1970-01/2005-12	Panama	GAZ	00002892	9.416	-82.747
MAP.62851	MAP.62850.collection		man biting outdoors				1970-01/2005-12	Panama	GAZ	00002892	9.416	-82.747
MAP.14244	MAP.14244.collection		larval collection	resting outdoors	animal shed resting		1988-08/1988-08	United States of America	GAZ	00002459	34.365	-88.431
MAP.15668	MAP.15668.collection		man biting outdoors				1989-04/1989-04	Brazil	GAZ	00002828	-22.116	-48.301
MAP.15796	MAP.15796.collection		man biting indoors	man biting outdoors			1987-11/1987-11	Mexico	GAZ	00002852	14.801	-92.467
MAP.51607	MAP.51607.collection		larval collection				1992-09/1992-09	Belize	GAZ	00002934	16.25	-89.0833
MAP.51610	MAP.51607.collection		larval collection				1992-09/1992-09	Belize	GAZ	00002934	16.25	-89.0833
MAP.51611	MAP.51607.collection		larval collection				1992-09/1992-09	Belize	GAZ	00002934	16.25	-89.0833
MAP.15820	MAP.15820.collection		man biting indoors	man biting outdoors			1987-04/1987-04	Mexico	GAZ	00002852	14.56	-92.25
MAP.12903	MAP.12903.collection		animal shed resting				1995-07/1995-07	Guatemala	GAZ	00002936	14.951	-89.535
MAP.32410	MAP.32410.collection							Mexico	GAZ	00002852	16.691	-98.399
MAP.49737	MAP.32410.collection							Mexico	GAZ	00002852	16.691	-98.399
MAP.62384	MAP.62384.collection		man biting indoors	man biting outdoors			2003-04/2003-04	Bolivia	GAZ	00002511	-18.599	-65.135
MAP.13517	MAP.13517.collection		man biting outdoors				1997-05/1997-05	Brazil	GAZ	00002828	-0.0333	-51.0833
MAP.13522	MAP.13517.collection		man biting outdoors				1997-05/1997-05	Brazil	GAZ	00002828	-0.0333	-51.0833
MAP.16062	MAP.16062.collection		larval collection				1986-10/1987-04	Colombia	GAZ	00002929	1.802	-78.803
MAP.14572	MAP.14572.collection		outdoor light trap				1991-07/1991-09	Mexico	GAZ	00002852	14.885	-92.351
MAP.42382	MAP.42382.collection		man biting outdoors				2000-04/2000-04	French Guiana	GAZ	00067144	3.374	-54.047
MAP.14658	MAP.14658.collection		man biting indoors	man biting outdoors			1993-04/1993-05	Belize	GAZ	00002934	17.022	-88.502
MAP.14659	MAP.14658.collection		man biting indoors	man biting outdoors			1993-04/1993-05	Belize	GAZ	00002934	17.022	-88.502
MAP.14660	MAP.14658.collection		man biting indoors	man biting outdoors			1993-04/1993-05	Belize	GAZ	00002934	17.022	-88.502
MAP.14661	MAP.14658.collection		man biting indoors	man biting outdoors			1993-04/1993-05	Belize	GAZ	00002934	17.022	-88.502
MAP.64159	MAP.64159.collection		carbon dioxide baited net trap				2003-08/2003-08	Argentina	GAZ	00002928	-23.1	-64.5
MAP.30349	MAP.30349.collection		man biting indoors	man biting outdoors			2002-01/2002-01	Belize	GAZ	00002934	17.1665	-88.6027
MAP.30369	MAP.30349.collection		man biting indoors	man biting outdoors			2002-01/2002-01	Belize	GAZ	00002934	17.1665	-88.6027
MAP.30379	MAP.30349.collection		man biting indoors	man biting outdoors			2002-01/2002-01	Belize	GAZ	00002934	17.1665	-88.6027
MAP.40119	MAP.40119.collection		man biting indoors	man biting outdoors	resting outdoors		1989-03/1989-03	Venezuala	GAZ	00002931	7.5361	-71.5622
MAP.40149	MAP.40119.collection		man biting indoors	man biting outdoors	resting outdoors		1989-03/1989-03	Venezuala	GAZ	00002931	7.5361	-71.5622
MAP.15841	MAP.15841.collection		man biting indoors	man biting outdoors			1986-06/1986-06	Mexico	GAZ	00002852	14.817	-92.485
MAP.13772	MAP.13772.collection		larval collection				1990-00/1996-00	Colombia	GAZ	00002929	6.001	-76.784
MAP.64153	MAP.64153.collection		carbon dioxide baited net trap				2003-02/2003-02	Argentina	GAZ	00002928	-23.1	-64.5
MAP.14095	MAP.14095.collection		larval collection	resting outdoors	animal shed resting		1988-06/1988-06	United States of America	GAZ	00002459	29.9675	-82.7656
MAP.51132	MAP.51132.collection		larval collection				1990-09/1990-09	Belize	GAZ	00002934	17.4833	-88.35
MAP.51135	MAP.51132.collection		larval collection				1990-09/1990-09	Belize	GAZ	00002934	17.4833	-88.35
MAP.51136	MAP.51132.collection		larval collection				1990-09/1990-09	Belize	GAZ	00002934	17.4833	-88.35
MAP.16011	MAP.16011.collection		outlet window trap	outside shelter artificial			1985-10/1985-11	Suriname	GAZ	00002525	4.4166	-54.4666
MAP.14598	MAP.14598.collection		outdoor light trap				1991-11/1992-08	Mexico	GAZ	00002852	14.818	-92.485
MAP.14154	MAP.14154.collection		larval collection	resting outdoors	animal shed resting		1995-09/1995-09	United States of America	GAZ	00002459	32.563	-81.716
MAP.15176	MAP.15176.collection		man biting outdoors	man biting indoors			1990-07/1990-10	Guatemala	GAZ	00002936	15.258	-89.102
MAP.30404	MAP.30404.collection		man biting				2002-11/2002-11	Brazil	GAZ	00002828	2.7958	-60.6837
MAP.31626	MAP.31626.collection		larval collection				1987-10/1987-10	United States of America	GAZ	00002459	35.0143	-78.0015
MAP.40028	MAP.40028.collection		man biting indoors	man biting outdoors	resting outdoors		1989-05/1989-05	Venezuala	GAZ	00002931	7.5592	-71.8583
MAP.64139	MAP.64139.collection		carbon dioxide baited net trap				2001-12/2001-12	Argentina	GAZ	00002928	-23.1	-64.5
MAP.14807	MAP.14807.collection		resting outdoors				1992-06/1992-06	United States of America	GAZ	00002459	29.501	-82.963
