Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.73196	MAP.73196.collection							Romania	GAZ	00002951	44.47	26.52
MAP.73197	MAP.73196.collection							Romania	GAZ	00002951	44.47	26.52
MAP.73198	MAP.73196.collection							Romania	GAZ	00002951	44.47	26.52
MAP.4006	MAP.4006.collection		light trap	human baited net trap	animal baited net trap		2001-05/2001-05	Turkey	GAZ	00000558	37.75	39.6666
MAP.68781	MAP.68781.collection							Finland	GAZ	00002937	60.4	25.67
MAP.12438	MAP.12438.collection		larval collection				1993-02/1993-02	Egypt	GAZ	00003934	29.416	30.833
MAP.10935	MAP.10935.collection		animal shed resting				2002-07/2002-07	Romania	GAZ	00002951	44.269	22.715
MAP.10936	MAP.10935.collection		animal shed resting				2002-07/2002-07	Romania	GAZ	00002951	44.269	22.715
MAP.66876	MAP.66876.collection							Belgium	GAZ	00002938	51.35	3.28
MAP.69831	MAP.69831.collection							Hungary	GAZ	00002952	47.02	19.78
MAP.69832	MAP.69831.collection							Hungary	GAZ	00002952	47.02	19.78
MAP.70971	MAP.70971.collection							Netherlands	GAZ	00001549	51.7	3.82
MAP.70972	MAP.70971.collection							Netherlands	GAZ	00001549	51.7	3.82
MAP.67681	MAP.67681.collection							Germany	GAZ	00002646	51.18	7.08
MAP.67682	MAP.67681.collection							Germany	GAZ	00002646	51.18	7.08
MAP.68846	MAP.68846.collection							France	GAZ	00003940	46.85	-1.88
MAP.68847	MAP.68846.collection							France	GAZ	00003940	46.85	-1.88
MAP.73531	MAP.73531.collection							Russian Federation	GAZ	00002721	56.78	40.98
MAP.73532	MAP.73531.collection							Russian Federation	GAZ	00002721	56.78	40.98
MAP.71756	MAP.71756.collection							Poland	GAZ	00002939	52.98	22.25
MAP.71757	MAP.71756.collection							Poland	GAZ	00002939	52.98	22.25
MAP.71606	MAP.71606.collection							Poland	GAZ	00002939	53.32	17.95
MAP.71607	MAP.71606.collection							Poland	GAZ	00002939	53.32	17.95
MAP.73841	MAP.73841.collection							Sweden	GAZ	00002729	57.5	12.08
MAP.73842	MAP.73841.collection							Sweden	GAZ	00002729	57.5	12.08
MAP.72891	MAP.72891.collection							Portugal	GAZ	00002944	39.37	-7.38
MAP.70496	MAP.70496.collection							Italy	GAZ	00002650	38.08	13.5
MAP.70497	MAP.70496.collection							Italy	GAZ	00002650	38.08	13.5
MAP.70031	MAP.70031.collection							Italy	GAZ	00002650	40.97	9.05
MAP.12502	MAP.12502.collection		larval collection				1993-06/1993-06	Egypt	GAZ	00003934	29.417	30.816
MAP.8460	MAP.8460.collection		animal shed resting				2002-09/2002-09	Iran	GAZ	00004474	36.461	52.858
MAP.8455	MAP.8455.collection		animal shed resting				2002-09/2002-09	Iran	GAZ	00004474	36.546	52.675
MAP.70026	MAP.70026.collection							Italy	GAZ	00002650	41.07	9.04
MAP.12500	MAP.12500.collection		larval collection				1993-04/1993-04	Egypt	GAZ	00003934	29.417	30.816
MAP.45407	MAP.45407.collection		carbon dioxide baited net trap	outside shelter			2005-10/2005-10	France	GAZ	00003940	43.597	4.212
MAP.68656	MAP.68656.collection							Spain	GAZ	00000591	38.12	-0.72
MAP.70396	MAP.70396.collection							Italy	GAZ	00002650	44.14	12.25
MAP.70397	MAP.70396.collection							Italy	GAZ	00002650	44.14	12.25
MAP.67031	MAP.67031.collection							Bulgaria	GAZ	00002950	43.83	25.95
MAP.67032	MAP.67031.collection							Bulgaria	GAZ	00002950	43.83	25.95
MAP.67033	MAP.67031.collection							Bulgaria	GAZ	00002950	43.83	25.95
MAP.12733	MAP.12733.collection		animal shed resting	animal baited net trap	house resting inside	light trap	2001-05/2002-10	Turkey	GAZ	00000558	37.3166	39.5666
MAP.75037	MAP.75037.collection						1988-10/1988-10	United Kingdom	GAZ	00002637	53.0559	-3.0183
MAP.75038	MAP.75037.collection						1988-10/1988-10	United Kingdom	GAZ	00002637	53.0559	-3.0183
MAP.68346	MAP.68346.collection							United Kingdom	GAZ	00002637	50.65	-1.97
MAP.68031	MAP.68031.collection							Germany	GAZ	00002646	52.13	11.62
MAP.73201	MAP.73201.collection							Romania	GAZ	00002951	44.83	27.12
MAP.73202	MAP.73201.collection							Romania	GAZ	00002951	44.83	27.12
MAP.73203	MAP.73201.collection							Romania	GAZ	00002951	44.83	27.12
MAP.73204	MAP.73201.collection							Romania	GAZ	00002951	44.83	27.12
MAP.71421	MAP.71421.collection							Netherlands	GAZ	00001549	53.28	6.15
MAP.71422	MAP.71421.collection							Netherlands	GAZ	00001549	53.28	6.15
MAP.72766	MAP.72766.collection							Portugal	GAZ	00002944	37.87	-7.53
MAP.74031	MAP.74031.collection							Sweden	GAZ	00002729	59.4	13.53
MAP.73021	MAP.73021.collection							Portugal	GAZ	00002944	39.73	-7.08
MAP.69021	MAP.69021.collection							France	GAZ	00003940	47.15	1.67
MAP.73661	MAP.73661.collection							Russian Federation	GAZ	00002721	64.42	46.25
MAP.70371	MAP.70371.collection							Italy	GAZ	00002650	45.65	12.19
MAP.70372	MAP.70371.collection							Italy	GAZ	00002650	45.65	12.19
MAP.71001	MAP.71001.collection							Netherlands	GAZ	00001549	51.5	4.3
MAP.71002	MAP.71001.collection							Netherlands	GAZ	00001549	51.5	4.3
MAP.66561	MAP.66561.collection							Austria	GAZ	00002942	48.32	14.27
MAP.66562	MAP.66561.collection							Austria	GAZ	00002942	48.32	14.27
MAP.70441	MAP.70441.collection							Italy	GAZ	00002650	43.9	12.92
MAP.70442	MAP.70441.collection							Italy	GAZ	00002650	43.9	12.92
MAP.67686	MAP.67686.collection							Germany	GAZ	00002646	50.73	7.1
MAP.74566	MAP.74566.collection							Sweden	GAZ	00002729	63.32	18.67
MAP.66846	MAP.66846.collection							Belgium	GAZ	00002938	51.3112	3.1344
MAP.45416	MAP.45416.collection		carbon dioxide baited net trap	outside shelter	animal baited net trap	man biting	2005-09/2005-09	France	GAZ	00003940	43.51	4.804
MAP.72091	MAP.72091.collection							Portugal	GAZ	00002944	38.37	-8.52
MAP.72516	MAP.72516.collection							Portugal	GAZ	00002944	38.28	-7.88
MAP.71176	MAP.71176.collection							Netherlands	GAZ	00001549	51.82	4.88
MAP.71177	MAP.71176.collection							Netherlands	GAZ	00001549	51.82	4.88
