Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Characteristics [species assay result (VBcv:0000961)]	Term Source REF	Term Accession Number	Comment [ASSI]
MAP.3995	MAP.3995.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.3996	MAP.3996.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.3997	MAP.3997.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.3998	MAP.3998.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.3999	MAP.3999.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4000	MAP.4000.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4001	MAP.4001.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4002	MAP.4002.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4003	MAP.4003.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4004	MAP.4004.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4005	MAP.4005.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4006	MAP.4006.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4007	MAP.4007.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4008	MAP.4008.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4009	MAP.4009.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4010	MAP.4010.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4011	MAP.4011.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4012	MAP.4012.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4013	MAP.4013.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4014	MAP.4014.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4015	MAP.4015.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4016	MAP.4016.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4017	MAP.4017.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4018	MAP.4018.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4043	MAP.4043.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.4044	MAP.4044.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.4399	MAP.4399.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8444	MAP.8444.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8445	MAP.8445.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8446	MAP.8446.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8447	MAP.8447.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8448	MAP.8448.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8449	MAP.8449.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8450	MAP.8450.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8451	MAP.8451.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8452	MAP.8452.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8453	MAP.8453.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8454	MAP.8454.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8455	MAP.8455.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8456	MAP.8456.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8457	MAP.8457.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8458	MAP.8458.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8459	MAP.8459.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8460	MAP.8460.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8461	MAP.8461.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8462	MAP.8462.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8463	MAP.8463.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8464	MAP.8464.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8465	MAP.8465.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8466	MAP.8466.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8467	MAP.8467.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8469	MAP.8469.spid		morphology		Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8470	MAP.8470.spid		morphology	DNA probe	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8471	MAP.8471.spid		morphology	DNA probe	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8472	MAP.8472.spid		morphology		Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8473	MAP.8473.spid		morphology	DNA probe	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8474	MAP.8474.spid		morphology		Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8475	MAP.8475.spid		morphology	DNA probe	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8476	MAP.8476.spid		morphology		Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8477	MAP.8477.spid		morphology	DNA probe	Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8788	MAP.8788.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8789	MAP.8789.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8790	MAP.8790.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8791	MAP.8791.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8792	MAP.8792.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8793	MAP.8793.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8794	MAP.8794.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8795	MAP.8795.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8796	MAP.8796.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8797	MAP.8797.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8799	MAP.8799.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8800	MAP.8800.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8801	MAP.8801.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8802	MAP.8802.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8803	MAP.8803.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8804	MAP.8804.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8805	MAP.8805.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8806	MAP.8806.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8807	MAP.8807.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8808	MAP.8808.spid				Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.8809	MAP.8809.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8810	MAP.8810.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8811	MAP.8811.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8812	MAP.8812.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8813	MAP.8813.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8814	MAP.8814.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8815	MAP.8815.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8816	MAP.8816.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8817	MAP.8817.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.8818	MAP.8818.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.9173	MAP.9173.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.9174	MAP.9174.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.9175	MAP.9175.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.9176	MAP.9176.spid		morphology		Anopheles sergentii species complex	MIRO	40003593	
MAP.9179	MAP.9179.spid		morphology		Anopheles sergentii species complex	MIRO	40003593	
MAP.9181	MAP.9181.spid		morphology		Anopheles sergentii species complex	MIRO	40003593	
MAP.9187	MAP.9187.spid		morphology		Anopheles sergentii species complex	MIRO	40003593	
MAP.9964	MAP.9964.spid				Anopheles sergentii species complex	MIRO	40003593	
MAP.10372	MAP.10372.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	subspecies from An maculipennis s.l.
MAP.10373	MAP.10373.spid		morphology		Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.10374	MAP.10374.spid		morphology	polymerase chain reaction method	Anopheles sacharovi Favre, 1903	MIRO	40003445	subspecies from An maculipennis s.l.
MAP.10375	MAP.10375.spid		morphology		Anopheles superpictus Grassi, 1899	MIRO	40003606	
MAP.10431	MAP.10431.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.10432	MAP.10432.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.10438	MAP.10438.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.10439	MAP.10439.spid				Anopheles sacharovi Favre, 1903	MIRO	40003445	
MAP.10880	MAP.10880.spid		morphology		Anopheles sergentii species complex	MIRO	40003593	
MAP.10883	MAP.10883.spid		morphology		Anopheles sergentii species complex	MIRO	40003593	
MAP.10914	MAP.10914.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10915	MAP.10915.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10916	MAP.10916.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10917	MAP.10917.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10918	MAP.10918.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10919	MAP.10919.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10920	MAP.10920.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10921	MAP.10921.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10922	MAP.10922.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10923	MAP.10923.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10924	MAP.10924.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10925	MAP.10925.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10926	MAP.10926.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10927	MAP.10927.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10928	MAP.10928.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10929	MAP.10929.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10930	MAP.10930.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10931	MAP.10931.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10932	MAP.10932.spid		morphology		Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10933	MAP.10933.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10934	MAP.10934.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10935	MAP.10935.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10936	MAP.10936.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10937	MAP.10937.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10938	MAP.10938.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10939	MAP.10939.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10940	MAP.10940.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10941	MAP.10941.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10942	MAP.10942.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10943	MAP.10943.spid		morphology	polymerase chain reaction method	Anopheles atroparvus van Thiel, 1927	MIRO	40000032	
MAP.10944	MAP.10944.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10945	MAP.10945.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
MAP.10946	MAP.10946.spid		morphology	polymerase chain reaction method	Anopheles messeae Falleroni, 1926	MIRO	40000139	
