id	latitude	longitude	country id	species	year start	year end	month start	month end	id method1	id method2	sample method1	sample method2	sample method3	sample method4	ASSI	citation
5083	-3.6986	-73.2775	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1998	1998	3	7	not applicable		man biting indoors	man biting outdoors	larval collection			"Roper, M.H., Torres, R.S., Goicochea, C.G., Andersen, E.M., Guarda, J.S., Calampa, C., Hightower, A.W. and Magill, A.J. (2000).  <b>The epidemiology of malaria in an epidemic area of the Peruvian Amazon.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>62</b>(2):247-56"
5084	-3.828	-73.3577	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	4	4	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
5085	-3.828	-73.3577	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	5	5	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
5086	-3.828	-73.3577	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	6	6	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
5087	-3.828	-73.3577	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	7	7	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
5088	-3.8272	-73.3761	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	4	4	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
5089	-3.8272	-73.3761	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	5	5	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
5090	-3.8272	-73.3761	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	6	6	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
5091	-3.8272	-73.3761	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	7	7	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
5092	-3.8447	-73.3864	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	4	4	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
