Source Name	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Comment [citation]	Comment [PubMed ID]	Comment [MAP ID]
malariaAtlas	MAP.5083		population	OBI	0000181	Roper, M.H., Torres, R.S., Goicochea, C.G., Andersen, E.M., Guarda, J.S., Calampa, C., Hightower, A.W. and Magill, A.J. (2000).  <b>The epidemiology of malaria in an epidemic area of the Peruvian Amazon.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>62</b>(2):247-56	10813480	MAP.5083
malariaAtlas	MAP.5084		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5084
malariaAtlas	MAP.5085		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5085
malariaAtlas	MAP.5086		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5086
malariaAtlas	MAP.5087		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5087
malariaAtlas	MAP.5088		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5088
malariaAtlas	MAP.5089		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5089
malariaAtlas	MAP.5090		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5090
malariaAtlas	MAP.5091		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5091
malariaAtlas	MAP.5092		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5092
malariaAtlas	MAP.5093		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5093
malariaAtlas	MAP.5094		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5094
malariaAtlas	MAP.5095		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5095
malariaAtlas	MAP.5096		population	OBI	0000181	Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27	15975146	MAP.5096
malariaAtlas	MAP.5098		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5098
malariaAtlas	MAP.5099		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5099
malariaAtlas	MAP.5100		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5100
malariaAtlas	MAP.5101		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5101
malariaAtlas	MAP.5102		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5102
malariaAtlas	MAP.5103		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5103
malariaAtlas	MAP.5104		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5104
malariaAtlas	MAP.5105		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5105
malariaAtlas	MAP.5106		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5106
malariaAtlas	MAP.5107		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5107
malariaAtlas	MAP.5108		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5108
malariaAtlas	MAP.5109		population	OBI	0000181	González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58	9290841	MAP.5109
malariaAtlas	MAP.5110		population	OBI	0000181	Rojas, W., Peñaranda, F. and Echavarría, M. (1992).  <b>Strategies for malaria control in Colombia.</b> <i>Parasitology Today</i>, <b>8</b>(4):141-4	15463599	MAP.5110
malariaAtlas	MAP.5111		population	OBI	0000181	Blanco Castro, S.D., Martínez Arias, A., Cano Velásquez, O.R., Tello Granados, R. and Mendoza, I. (2000).  <b>[Introduction of <i>Bacillus sphaericus</i> strain-2362 (GRISELESF) for biological control of malaria vectors in Guatemala].</b> <i>Revista Cubana de Medicina Tropical</i>, <b>52</b>(1):37-43	11107892	MAP.5111
malariaAtlas	MAP.5112		population	OBI	0000181	Blanco Castro, S.D., Martínez Arias, A., Cano Velásquez, O.R., Tello Granados, R. and Mendoza, I. (2000).  <b>[Introduction of <i>Bacillus sphaericus</i> strain-2362 (GRISELESF) for biological control of malaria vectors in Guatemala].</b> <i>Revista Cubana de Medicina Tropical</i>, <b>52</b>(1):37-43	11107892	MAP.5112
malariaAtlas	MAP.5113		population	OBI	0000181	Blanco Castro, S.D., Martínez Arias, A., Cano Velásquez, O.R., Tello Granados, R. and Mendoza, I. (2000).  <b>[Introduction of <i>Bacillus sphaericus</i> strain-2362 (GRISELESF) for biological control of malaria vectors in Guatemala].</b> <i>Revista Cubana de Medicina Tropical</i>, <b>52</b>(1):37-43	11107892	MAP.5113
malariaAtlas	MAP.5114		population	OBI	0000181	Blanco Castro, S.D., Martínez Arias, A., Cano Velásquez, O.R., Tello Granados, R. and Mendoza, I. (2000).  <b>[Introduction of <i>Bacillus sphaericus</i> strain-2362 (GRISELESF) for biological control of malaria vectors in Guatemala].</b> <i>Revista Cubana de Medicina Tropical</i>, <b>52</b>(1):37-43	11107892	MAP.5114
malariaAtlas	MAP.5115		population	OBI	0000181	Blanco Castro, S.D., Martínez Arias, A., Cano Velásquez, O.R., Tello Granados, R. and Mendoza, I. (2000).  <b>[Introduction of <i>Bacillus sphaericus</i> strain-2362 (GRISELESF) for biological control of malaria vectors in Guatemala].</b> <i>Revista Cubana de Medicina Tropical</i>, <b>52</b>(1):37-43	11107892	MAP.5115
malariaAtlas	MAP.5116		population	OBI	0000181	Guthmann, J.P. (2002). <i>Environmental risk factors for malaria - A case-control study in Piura, Peru.</i> D. Phil. Thesis. London School of Hygiene & Tropical Medicine, London, United Kingdom.		MAP.5116
malariaAtlas	MAP.5117		population	OBI	0000181	Guthmann, J.P. (2002). <i>Environmental risk factors for malaria - A case-control study in Piura, Peru.</i> D. Phil. Thesis. London School of Hygiene & Tropical Medicine, London, United Kingdom.		MAP.5117
malariaAtlas	MAP.5118		population	OBI	0000181	Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22	1600221	MAP.5118
malariaAtlas	MAP.5119		population	OBI	0000181	Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22	1600221	MAP.5119
malariaAtlas	MAP.5120		population	OBI	0000181	Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22	1600221	MAP.5120
malariaAtlas	MAP.5121		population	OBI	0000181	Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22	1600221	MAP.5121
malariaAtlas	MAP.5122		population	OBI	0000181	Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22	1600221	MAP.5122
malariaAtlas	MAP.5123		population	OBI	0000181	Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22	1600221	MAP.5123
