Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.4632	MAP.4632.collection		house resting inside	animal shed resting			2000-06/2000-06	India	GAZ	00002839	22.1749	84.785
MAP.4645	MAP.4632.collection		house resting inside	animal shed resting			2000-06/2000-06	India	GAZ	00002839	22.1749	84.785
MAP.59113	MAP.59113.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1999-03/1999-03	Myanmar	GAZ	00006899	20.835	95.216
MAP.44858	MAP.44858.collection		larval collection				2004-06/2004-07	Vanuatu	GAZ	00006918	-15.3	166.8833
MAP.20732	MAP.20732.collection		house resting inside	animal biting	larval collection	man biting indoors	1988-03/1988-03	Nepal	GAZ	00004399	28.826	80.365
MAP.20749	MAP.20732.collection		house resting inside	animal biting	larval collection	man biting indoors	1988-03/1988-03	Nepal	GAZ	00004399	28.826	80.365
MAP.20763	MAP.20732.collection		house resting inside	animal biting	larval collection	man biting indoors	1988-03/1988-03	Nepal	GAZ	00004399	28.826	80.365
MAP.20780	MAP.20732.collection		house resting inside	animal biting	larval collection	man biting indoors	1988-03/1988-03	Nepal	GAZ	00004399	28.826	80.365
MAP.20586	MAP.20586.collection		larval collection				1995-05/1995-05	India	GAZ	00002839	10.356	77.975
MAP.16264	MAP.16264.collection		animal baited net trap	house resting inside	light trap	outlet window trap	1991-07/1991-08	Sri Lanka	GAZ	00003924	7.25	79.908
MAP.65608	MAP.65608.collection		larval collection				2005-08/2005-08	Indonesia	GAZ	00003727	-6.9769	106.8064
MAP.16156	MAP.16156.collection		animal baited net trap	house resting inside	light trap	outlet window trap	1991-11/1991-12	Sri Lanka	GAZ	00003924	7.2833	81.6667
MAP.61690	MAP.61690.collection		larval collection				1987-07/1987-10	India	GAZ	00002839	22.936	80.141
MAP.61691	MAP.61690.collection		larval collection				1987-07/1987-10	India	GAZ	00002839	22.936	80.141
MAP.61693	MAP.61690.collection		larval collection				1987-07/1987-10	India	GAZ	00002839	22.936	80.141
MAP.61694	MAP.61690.collection		larval collection				1987-07/1987-10	India	GAZ	00002839	22.936	80.141
MAP.61695	MAP.61690.collection		larval collection				1987-07/1987-10	India	GAZ	00002839	22.936	80.141
MAP.65074	MAP.65074.collection		larval collection				2005-07/2005-07	Indonesia	GAZ	00003727	-7.2561	106.7542
MAP.65075	MAP.65074.collection		larval collection				2005-07/2005-07	Indonesia	GAZ	00003727	-7.2561	106.7542
MAP.17176	MAP.17176.collection		man biting indoors				1991-02/1991-02	India	GAZ	00002839	28.582	77.574
MAP.17185	MAP.17176.collection		man biting indoors				1991-02/1991-02	India	GAZ	00002839	28.582	77.574
MAP.17194	MAP.17176.collection		man biting indoors				1991-02/1991-02	India	GAZ	00002839	28.582	77.574
MAP.16508	MAP.16508.collection		animal baited net trap	house resting inside	larval collection	outlet window trap	1990-08/1990-08	Sri Lanka	GAZ	00003924	7.574	79.807
MAP.18693	MAP.18693.collection		animal baited net trap	larval collection			1989-03/1989-03	Malaysia	GAZ	00003902	5.5667	100.3667
MAP.18732	MAP.18693.collection		animal baited net trap	larval collection			1989-03/1989-03	Malaysia	GAZ	00003902	5.5667	100.3667
MAP.16262	MAP.16262.collection		animal baited net trap	house resting inside	light trap	outlet window trap	1991-03/1991-04	Sri Lanka	GAZ	00003924	7.25	79.908
MAP.16277	MAP.16277.collection		animal baited net trap	house resting inside	light trap	outlet window trap	1992-01/1992-02	Sri Lanka	GAZ	00003924	8.06	80.583
MAP.59844	MAP.59844.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1999-12/1999-12	Myanmar	GAZ	00006899	20.14	92.895
MAP.23456	MAP.23456.collection		carbon dioxide baited net trap	larval collection			1988-04/1990-05	Australia	GAZ	00000463	-13.7035	136.2683
MAP.25801	MAP.25801.collection		man biting					Papua New Guinea	GAZ	00003922	-3.566	143.619
MAP.19233	MAP.19233.collection		house resting inside	animal shed resting			2000-03/2000-03	Pakistan	GAZ	00005246	29.602	73.11
MAP.19246	MAP.19233.collection		house resting inside	animal shed resting			2000-03/2000-03	Pakistan	GAZ	00005246	29.602	73.11
MAP.19260	MAP.19233.collection		house resting inside	animal shed resting			2000-03/2000-03	Pakistan	GAZ	00005246	29.602	73.11
MAP.59777	MAP.59777.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1999-11/1999-11	Myanmar	GAZ	00006899	12.444	98.605
MAP.22849	MAP.22849.collection		man biting outdoors				1994-07/1994-07	Papua New Guinea	GAZ	00003922	-3.599	142.75
MAP.52862	MAP.52862.collection		animal biting	man biting indoors	man biting outdoors	house resting inside	1993-04/1993-04	Indonesia	GAZ	00003727	-8.784	116.064
MAP.25143	MAP.25143.collection		man biting outdoors				1999-07/1999-07	Republic of Korea	GAZ	00002802	37.9417	126.8417
MAP.61304	MAP.61304.collection		man biting outdoors	man biting indoors	house resting inside	resting outdoors	1986-12/1986-12	Papua New Guinea	GAZ	00003922	-5.483	145.699
MAP.65425	MAP.65425.collection		larval collection				2005-06/2005-06	Indonesia	GAZ	00003727	-7.1036	106.855
MAP.23305	MAP.23305.collection		carbon dioxide baited net trap	larval collection			1988-05/1990-06	Australia	GAZ	00000463	-11.4063	132.3232
MAP.16677	MAP.16677.collection		animal baited net trap	house resting inside	larval collection	outlet window trap	1992-01/1992-02	Sri Lanka	GAZ	00003924	6.841	80.088
MAP.32084	MAP.32084.collection		larval collection				1986-07/1986-08	Indonesia	GAZ	00003727	3.2833	99.5
MAP.1585	MAP.1585.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	22.933	93.655
MAP.1586	MAP.1585.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	22.933	93.655
MAP.1587	MAP.1585.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	22.933	93.655
MAP.1588	MAP.1585.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	22.933	93.655
MAP.1589	MAP.1585.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	22.933	93.655
MAP.21567	MAP.21567.collection		animal biting	man biting outdoors	indoor light trap		1988-01/1988-01	Solomon Islands	GAZ	00005275	-9.4209	160.179
MAP.19625	MAP.19625.collection		carbon dioxide baited net trap				1996-01/1996-01	Australia	GAZ	00000463	-17.3277	145.9387
MAP.59748	MAP.59748.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	2000-02/2000-02	Myanmar	GAZ	00006899	10.029	98.553
