Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Date	Country	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)	 Characteristics [Collection site longitude (VBcv:0000816)
1	1 collection		larval collection								1995-05-00/1995-05-00	Philippines	GAZ	00004525	14.0167	121.5833
2	2 collection		larval collection								1995-06-00/1995-06-00	Philippines	GAZ	00004525	14.0167	121.5833
3	3 collection		larval collection								2002-07-00/2002-07-00	Philippines	GAZ	00004525	14.0167	121.5833
6	6 collection		larval collection								1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.75	120.28
7	7 collection		man biting indoors		man biting outdoors		larval collection				1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.75	120.28
8	8 collection		man biting indoors		man biting outdoors						1992-04-00/1992-05-00	Philippines	GAZ	00004525	14.75	120.28
9	9 collection		larval collection								1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.75	120.297
10	10 collection		man biting indoors		man biting outdoors		larval collection				1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.75	120.297
11	11 collection		man biting indoors		man biting outdoors						1992-04-00/1992-05-00	Philippines	GAZ	00004525	14.75	120.297
12	12 collection		larval collection								1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.739	120.294
13	13 collection		man biting indoors		man biting outdoors		larval collection				1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.739	120.294
14	14 collection		man biting indoors		man biting outdoors						1993-01-00/1993-02-00	Philippines	GAZ	00004525	14.739	120.294
21	21 collection		larval collection								1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.725	120.326
22	22 collection		man biting indoors		man biting outdoors		larval collection				1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.725	120.326
23	23 collection		man biting indoors		man biting outdoors						1992-04-00/1992-05-00	Philippines	GAZ	00004525	14.725	120.326
24	24 collection		man biting indoors		man biting outdoors						1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.717	120.309
25	25 collection		man biting indoors		man biting outdoors						1992-04-00/1992-05-00	Philippines	GAZ	00004525	14.717	120.309
26	26 collection		larval collection								1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.738	120.319
27	27 collection		man biting indoors		man biting outdoors		larval collection				1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.738	120.319
28	28 collection		man biting indoors		man biting outdoors						1993-01-00/1993-02-00	Philippines	GAZ	00004525	14.738	120.319
35	35 collection		larval collection								1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.706	120.277
36	36 collection		man biting indoors		man biting outdoors		larval collection				1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.706	120.277
37	37 collection		man biting indoors		man biting outdoors						1992-09-00/1992-10-00	Philippines	GAZ	00004525	14.706	120.277
38	38 collection		man biting indoors		man biting outdoors		larval collection				1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.704	120.262
39	39 collection		man biting indoors		man biting outdoors						1992-04-00/1992-05-00	Philippines	GAZ	00004525	14.704	120.262
40	40 collection		man biting indoors		man biting outdoors						1992-01-00/1993-06-00	Philippines	GAZ	00004525	14.7041	120.254
41	41 collection		man biting indoors		man biting outdoors						1992-09-00/1992-10-00	Philippines	GAZ	00004525	14.7041	120.254
