Source Name	Sample Name	Description	Material Type	Term Source REF	Term Accession Number
malariaAtlas	3995				
malariaAtlas	3996				
malariaAtlas	3997				
malariaAtlas	3998				
malariaAtlas	3999				
malariaAtlas	4000				
malariaAtlas	4001				
malariaAtlas	4002				
malariaAtlas	4003				
malariaAtlas	4004				
malariaAtlas	4005				
malariaAtlas	4006				
malariaAtlas	4007				
malariaAtlas	4008				
malariaAtlas	4009				
malariaAtlas	4010				
malariaAtlas	4011				
malariaAtlas	4012				
malariaAtlas	4013				
malariaAtlas	4014				
malariaAtlas	4015				
malariaAtlas	4016				
malariaAtlas	4017				
malariaAtlas	4018				
malariaAtlas	4043				
malariaAtlas	4044				
malariaAtlas	4399				
malariaAtlas	8444				
malariaAtlas	8445				
malariaAtlas	8446				
malariaAtlas	8447				
malariaAtlas	8448				
malariaAtlas	8449				
malariaAtlas	8450				
malariaAtlas	8451				
malariaAtlas	8452				
malariaAtlas	8453				
malariaAtlas	8454				
malariaAtlas	8455				
malariaAtlas	8456				
malariaAtlas	8457				
malariaAtlas	8458				
malariaAtlas	8459				
malariaAtlas	8460				
malariaAtlas	8461				
malariaAtlas	8462				
malariaAtlas	8463				
malariaAtlas	8464				
malariaAtlas	8465				
malariaAtlas	8466				
malariaAtlas	8467				
malariaAtlas	8469				
malariaAtlas	8470				
malariaAtlas	8471				
malariaAtlas	8472				
malariaAtlas	8473				
malariaAtlas	8474				
malariaAtlas	8475				
malariaAtlas	8476				
malariaAtlas	8477				
malariaAtlas	8788				
malariaAtlas	8789				
malariaAtlas	8790				
malariaAtlas	8791				
malariaAtlas	8792				
malariaAtlas	8793				
malariaAtlas	8794				
malariaAtlas	8795				
malariaAtlas	8796				
malariaAtlas	8797				
malariaAtlas	8799				
malariaAtlas	8800				
malariaAtlas	8801				
malariaAtlas	8802				
malariaAtlas	8803				
malariaAtlas	8804				
malariaAtlas	8805				
malariaAtlas	8806				
malariaAtlas	8807				
malariaAtlas	8808				
malariaAtlas	8809				
malariaAtlas	8810				
malariaAtlas	8811				
malariaAtlas	8812				
malariaAtlas	8813				
malariaAtlas	8814				
malariaAtlas	8815				
malariaAtlas	8816				
malariaAtlas	8817				
malariaAtlas	8818				
malariaAtlas	9173				
malariaAtlas	9174				
malariaAtlas	9175				
malariaAtlas	9176				
malariaAtlas	9179				
malariaAtlas	9181				
malariaAtlas	9187				
malariaAtlas	9964				
malariaAtlas	10372				
malariaAtlas	10373				
malariaAtlas	10374				
malariaAtlas	10375				
malariaAtlas	10431				
malariaAtlas	10432				
malariaAtlas	10438				
malariaAtlas	10439				
malariaAtlas	10880				
malariaAtlas	10883				
malariaAtlas	10914				
malariaAtlas	10915				
malariaAtlas	10916				
malariaAtlas	10917				
malariaAtlas	10918				
malariaAtlas	10919				
malariaAtlas	10920				
malariaAtlas	10921				
malariaAtlas	10922				
malariaAtlas	10923				
malariaAtlas	10924				
malariaAtlas	10925				
malariaAtlas	10926				
malariaAtlas	10927				
malariaAtlas	10928				
malariaAtlas	10929				
malariaAtlas	10930				
malariaAtlas	10931				
malariaAtlas	10932				
malariaAtlas	10933				
malariaAtlas	10934				
malariaAtlas	10935				
malariaAtlas	10936				
malariaAtlas	10937				
malariaAtlas	10938				
malariaAtlas	10939				
malariaAtlas	10940				
malariaAtlas	10941				
malariaAtlas	10942				
malariaAtlas	10943				
malariaAtlas	10944				
malariaAtlas	10945				
malariaAtlas	10946				
malariaAtlas	10947				
malariaAtlas	10948				
malariaAtlas	10949				
malariaAtlas	10950				
malariaAtlas	10969				
malariaAtlas	10970				
malariaAtlas	10971				
malariaAtlas	10972				
malariaAtlas	10973				
malariaAtlas	11113				
malariaAtlas	11114				
malariaAtlas	11115				
malariaAtlas	11116				
malariaAtlas	11117				
malariaAtlas	11118				
malariaAtlas	11569				
malariaAtlas	11570				
malariaAtlas	11571				
malariaAtlas	11572				
malariaAtlas	11595				
malariaAtlas	11598				
malariaAtlas	11604				
malariaAtlas	11607				
malariaAtlas	11610				
malariaAtlas	12334				
malariaAtlas	12335				
malariaAtlas	12336				
malariaAtlas	12337				
malariaAtlas	12338				
malariaAtlas	12339				
malariaAtlas	12340				
