Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Characteristics [species assay result (VBcv:0000961)]	Term Source REF	Term Accession Number	Comment [ASSI]
MAP.1	MAP.1.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.2	MAP.2.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.3	MAP.3.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.6	MAP.6.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.7	MAP.7.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.8	MAP.8.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.9	MAP.9.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.10	MAP.10.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.11	MAP.11.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.12	MAP.12.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.13	MAP.13.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.14	MAP.14.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.21	MAP.21.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.22	MAP.22.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.23	MAP.23.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.24	MAP.24.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.25	MAP.25.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.26	MAP.26.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.27	MAP.27.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.28	MAP.28.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.35	MAP.35.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.36	MAP.36.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.37	MAP.37.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.38	MAP.38.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.39	MAP.39.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.40	MAP.40.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.41	MAP.41.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.48	MAP.48.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.49	MAP.49.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.50	MAP.50.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.51	MAP.51.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.52	MAP.52.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.53	MAP.53.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.54	MAP.54.spid		morphology		Anopheles flavirostris (Ludlow, 1914)	MIRO	40002282	
MAP.73	MAP.73.spid		morphology	Octanol dehydrogenase alloenzyme	Anopheles minimus species complex	MIRO	40003537	ODH and PCR found all species were An. minimus A
MAP.74	MAP.74.spid		morphology	Octanol dehydrogenase alloenzyme	Anopheles minimus species complex	MIRO	40003537	ODH and PCR found all species were An. minimus A
MAP.75	MAP.75.spid		morphology	Octanol dehydrogenase alloenzyme	Anopheles minimus species complex	MIRO	40003537	ODH and PCR found all species were An. minimus A
MAP.76	MAP.76.spid				Anopheles minimus species complex	MIRO	40003537	ODH and PCR found all species were An. minimus A
