Sample Name	Assay Name	Protocol REF	Performer	Date	Comment [note]	Parameter Value [group1.insecticidal substance]	Term Source Ref	Term Accession Number	Parameter Value [group1.concentration]	Unit	Term Source Ref	Term Accession Number	Parameter Value [duration of exposure]	Unit	Term Source Ref	Term Accession Number	Raw Data File
PMI1	PMI.IR_WHO.PMI1.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI2	PMI.IR_WHO.PMI2.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI3	PMI.IR_WHO.PMI3.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI4	PMI.IR_WHO.PMI4.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI5	PMI.IR_WHO.PMI5.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI6	PMI.IR_WHO.PMI6.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI7	PMI.IR_WHO.PMI7.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI8	PMI.IR_WHO.PMI8.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI9	PMI.IR_WHO.PMI9.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI10	PMI.IR_WHO.PMI10.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI11	PMI.IR_WHO.PMI11.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI12	PMI.IR_WHO.PMI12.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI13	PMI.IR_WHO.PMI13.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI14	PMI.IR_WHO.PMI14.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI15	PMI.IR_WHO.PMI15.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI16	PMI.IR_WHO.PMI16.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI17	PMI.IR_WHO.PMI17.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI18	PMI.IR_WHO.PMI18.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI19	PMI.IR_WHO.PMI19.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI20	PMI.IR_WHO.PMI20.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI21	PMI.IR_WHO.PMI21.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI22	PMI.IR_WHO.PMI22.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI23	PMI.IR_WHO.PMI23.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI24	PMI.IR_WHO.PMI24.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI25	PMI.IR_WHO.PMI25.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI26	PMI.IR_WHO.PMI26.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI27	PMI.IR_WHO.PMI27.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI29	PMI.IR_WHO.PMI29.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI39	PMI.IR_WHO.PMI39.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI40	PMI.IR_WHO.PMI40.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI41	PMI.IR_WHO.PMI41.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI42	PMI.IR_WHO.PMI42.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI43	PMI.IR_WHO.PMI43.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI44	PMI.IR_WHO.PMI44.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI45	PMI.IR_WHO.PMI45.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI48	PMI.IR_WHO.PMI48.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI49	PMI.IR_WHO.PMI49.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI50	PMI.IR_WHO.PMI50.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI51	PMI.IR_WHO.PMI51.Pirimiphos?methyl 0.25%	IR_WHO				pirimiphos-methyl	MIRO	10000082	0.25	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI52	PMI.IR_WHO.PMI52.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI53	PMI.IR_WHO.PMI53.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI54	PMI.IR_WHO.PMI54.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI55	PMI.IR_WHO.PMI55.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI56	PMI.IR_WHO.PMI56.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI57	PMI.IR_WHO.PMI57.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI58	PMI.IR_WHO.PMI58.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI59	PMI.IR_WHO.PMI59.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI62	PMI.IR_WHO.PMI62.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI63	PMI.IR_WHO.PMI63.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI64	PMI.IR_WHO.PMI64.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI65	PMI.IR_WHO.PMI65.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI66	PMI.IR_WHO.PMI66.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI67	PMI.IR_WHO.PMI67.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI68	PMI.IR_WHO.PMI68.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI69	PMI.IR_WHO.PMI69.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI70	PMI.IR_WHO.PMI70.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI71	PMI.IR_WHO.PMI71.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI72	PMI.IR_WHO.PMI72.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI73	PMI.IR_WHO.PMI73.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI74	PMI.IR_WHO.PMI74.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI75	PMI.IR_WHO.PMI75.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI76	PMI.IR_WHO.PMI76.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI77	PMI.IR_WHO.PMI77.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI78	PMI.IR_WHO.PMI78.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI79	PMI.IR_WHO.PMI79.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI80	PMI.IR_WHO.PMI80.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI83	PMI.IR_WHO.PMI83.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI84	PMI.IR_WHO.PMI84.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI85	PMI.IR_WHO.PMI85.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI86	PMI.IR_WHO.PMI86.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI87	PMI.IR_WHO.PMI87.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI88	PMI.IR_WHO.PMI88.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI89	PMI.IR_WHO.PMI89.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI90	PMI.IR_WHO.PMI90.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI91	PMI.IR_WHO.PMI91.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI92	PMI.IR_WHO.PMI92.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
