Sample Name	Assay Name	Description	Protocol REF	Performer	Date	Characteristics [species assay result (VBcv:0000961)]	Term Source Ref	Term Accession Number
PMI1	PMI.species.PMI1		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI2	PMI.species.PMI2		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI3	PMI.species.PMI3		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI4	PMI.species.PMI4		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI5	PMI.species.PMI5		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI6	PMI.species.PMI6		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI7	PMI.species.PMI7		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI8	PMI.species.PMI8		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI9	PMI.species.PMI9		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI10	PMI.species.PMI10		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI11	PMI.species.PMI11		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI12	PMI.species.PMI12		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI13	PMI.species.PMI13		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI14	PMI.species.PMI14		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI15	PMI.species.PMI15		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI16	PMI.species.PMI16		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI17	PMI.species.PMI17		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI18	PMI.species.PMI18		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI19	PMI.species.PMI19		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI20	PMI.species.PMI20		SPECIES_PCR			Anopheles coustani	MIRO	40000064
PMI21	PMI.species.PMI21		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI22	PMI.species.PMI22		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI23	PMI.species.PMI23		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI24	PMI.species.PMI24		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI25	PMI.species.PMI25		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI26	PMI.species.PMI26		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
