Assay Name	Phenotype Name	Observable	Term Source Ref	Term Accession Number	Attribute	Term Source Ref	Term Accession Number	Value	Term Source Ref	Term Accession Number	Unit	Term Source Ref	Term Accession Number
PMI.IR_WHO.PMI1.Lambda-cyhalothrin 0.05%	mortality percentage:94.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	94.0			percent	UO	0000187
PMI.IR_WHO.PMI2.Bendiocarb 0.1%	mortality percentage:95.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI3.Deltamethrin 0.05%	mortality percentage:100.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI4.Deltamethrin 0.05%	mortality percentage:100.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI5.Deltamethrin 0.05%	mortality percentage:93.3, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	93.3			percent	UO	0000187
PMI.IR_WHO.PMI6.Bendiocarb 0.1%	mortality percentage:97.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.0			percent	UO	0000187
PMI.IR_WHO.PMI7.Deltamethrin 0.05%	mortality percentage:94.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	94.0			percent	UO	0000187
PMI.IR_WHO.PMI8.Deltamethrin 0.05%	mortality percentage:100.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI9.Bendiocarb 0.1%	mortality percentage:88.5, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	88.5			percent	UO	0000187
PMI.IR_WHO.PMI10.Deltamethrin 0.05%	mortality percentage:92.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	92.0			percent	UO	0000187
PMI.IR_WHO.PMI11.Deltamethrin 0.05%	mortality percentage:97.5, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.5			percent	UO	0000187
PMI.IR_WHO.PMI12.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI13.Deltamethrin 0.05%	mortality percentage:100.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI14.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI15.Deltamethrin 0.05%	mortality percentage:93.8, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	93.8			percent	UO	0000187
