Source Name	Sample Name	Description	Comment [PMI ORIG REF#]	Comment [PMI REF#]	Comment [PMI SOURCE REF#]	Comment [comment]	Material Type	Term Source Ref	Term Accession Number	Characteristics [sex (EFO:0000695)]	Term Source Ref	Term Accession Number	Comment [Stage tested (and origin)]	Characteristics [developmental stage (EFO:0000399)]	Term Source Ref	Term Accession Number	Characteristics [age (EFO:0000246)]	Unit	Term Source Ref	Term Accession Number
PresidentsMalariaInitiative	PMI1		G8342	PMI SOURCE REF#	PMI1		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI2		G8343	PMI SOURCE REF#	PMI2		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI3		G8344	PMI SOURCE REF#	PMI3		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI4		G8345	PMI SOURCE REF#	PMI4		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI5		G8346	PMI SOURCE REF#	PMI5		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI6		G8347	PMI SOURCE REF#	PMI6		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI7		G8348	PMI SOURCE REF#	PMI7		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI8		G8351	PMI SOURCE REF#	PMI8		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI9		G8349	PMI SOURCE REF#	PMI9		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI10		G8350	PMI SOURCE REF#	PMI10		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI11		G8352	PMI SOURCE REF#	PMI11		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI12		G8355	PMI SOURCE REF#	PMI12		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI13		G8356	PMI SOURCE REF#	PMI13		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI14		G8353	PMI SOURCE REF#	PMI14		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI15		G8354	PMI SOURCE REF#	PMI15		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI16		G8358	PMI SOURCE REF#	PMI16		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI17		G8357	PMI SOURCE REF#	PMI17		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI18		G8359	PMI SOURCE REF#	PMI18		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI19		G8360	PMI SOURCE REF#	PMI19		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI20		G8362	PMI SOURCE REF#	PMI20		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI21		G8361	PMI SOURCE REF#	PMI21		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI22		G8364	PMI SOURCE REF#	PMI22		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI23		G8363	PMI SOURCE REF#	PMI23		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI24		G8365	PMI SOURCE REF#	PMI24		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI25		G8366	PMI SOURCE REF#	PMI25		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI26		G8367	PMI SOURCE REF#	PMI26		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI27		G8368	PMI SOURCE REF#	PMI27		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI29			PMI SOURCE REF#	PMI29		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI39		G8372	PMI SOURCE REF#	PMI39		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI40		G8369	PMI SOURCE REF#	PMI40		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI41		G8370	PMI SOURCE REF#	PMI41		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI42		G8371	PMI SOURCE REF#	PMI42		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI43		G8373	PMI SOURCE REF#	PMI43		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI44		G8374	PMI SOURCE REF#	PMI44		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI45			PMI SOURCE REF#	PMI45		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI46		G8375	PMI SOURCE REF#	PMI46		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI47		G8376	PMI SOURCE REF#	PMI47		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI48		G8377	PMI SOURCE REF#	PMI48		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI49		G8378	PMI SOURCE REF#	PMI49		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI50		G8379	PMI SOURCE REF#	PMI50		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI51			PMI SOURCE REF#	PMI51		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI52		G8383	PMI SOURCE REF#	PMI52		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI53		G8380	PMI SOURCE REF#	PMI53		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI54		G8381	PMI SOURCE REF#	PMI54		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
PresidentsMalariaInitiative	PMI55		G8382	PMI SOURCE REF#	PMI55		pool	OBI	0000181	female	PATO	0000383	NR	adult	IDOMAL	0000655	2-5	day	UO	0000033
