				Country			IR_Test_Method		Mosquito_collection_Year_start								Locality	Latitude	Longitude		Vector_species				IR_Test_NumExposed						IR_Test_mortality		IR_Mechanism_Status	Kdr_frequency					Chemical_class		Resistance_status	R_code		
REF#	ORIG REF#	ORIG SOURCE	ORIG SOURCE REF	Country	Country code	Investigation type	Test                                           type	Insecticide tested	Year	Start month	End month	Province             1st admin level	District 2nd admin level	District Update	Commune 3rd admin level	Village or Locality (site) ORIG	Village or Locality UPDATED (Co-ordinates)	Latitude UTM_X UPDATE2	Longitude UTM_Y UPDATE2	GEOREF STATUS	Species tested	Stage tested (and origin)	Species used in controls	Number of replicates tested	Total mosquitoes in all test replicates	Number of replicates for control	Total mosquitoes in all controls	Time at which mortality recorded	Recorded average mortality in treatments (%)	Recorded average mortality in controls (%)	Calculated  average mortality adjusted for control  (%)	Resistance status Susceptible:(>=98%) Moderate:(90-98%) High:(<90%)	Mechanism status	Allelic frequency                   (%)	Institute that collected data	Data published in a journal?	Journal reference	Remarks (eg. deviations from standard procedures)	Chemical class, if standard dosage	UPDATED STATUS	Resistance status_IRMapper	Resistance code_IR Mapper	Count	Comments
16079		PMI	PMI242	Ghana	NG	Phenotypic	kdr (mutation unspecified)	Lambda-cyhalothrin 0.05%	2009-2010	Mar	NR						Tabora			Provided	An. pharoensis	NR	NR	1	215	1	24	30mins	0.987	0	93.9%	Susceptible	NA	41.0%		Yes			Organochlorines	Susceptible	Susceptible	PR	1	
16073	G11278		PMI243	Liberia	BF	Mechanism	CDC bottle_adults	DDT 4.0%	2009-2011	Feb	Dec	Mashonaland	Kinshasa	Illubabora	Ziway-Dugda	Tabora	Manakara	13.76888	36.59000	Added AT 112014	An. arabiensis	F0 adults (from wild larvae)	An. gambiae s.l.	NR	224	NR	NR	NA	NR	NR	94.8%	High	Detected	50.0%	Malaria&Other Parasitic Diseases Division	No	Aikpon et al 2013	PMI, C. Fornadel, 06/10/2014	NA	High	NA	NA		Cabagge growing area
16071	G11279		PMI716	Madagascar	RW		Ace1R	Alphacypermethrin	2006	Aug	Jun	Mashonaland Central	Katanga	Sankuru	Nampula	Yunyoo	Yunyoo	-23.25000	32.85729	Approximate coordinates	An. gambiae s.s.	F0 adults (wild collected) 		2	213			NR	54.2%		61.2%	Moderate	Not detected	86.0%	PMI, 2014		NR		Carbamates	Moderate	Confirmed resistance	S		Rural cotton and rice area
16077	G11276		PMI1114	Angola	KE		WHO test kit_adults	Deltamethrin 0.05%	2007	Sep	Nov	East Kasai	Hurungwe	Benishangul-Gumuz	Gwembe	Mbujimayi 	Mbujimayi 	8.16666	35.71500	Coordinates not available	An. gambiae s.l.	F1 adults (progeny of wild adults)		4	763			24hrs			69.0%	NA		80.0%	PMI, 2012		Haji et al. 2013		Pyrethroids	NA	Possible resistance	R		Rice  area
16075	G11277		PMI1115	Ethiopia	SN			Malathion 5.0%	2006-2008	Apr	Mar	Mashonaland East	Bahirdar	Arsi	Tolon/Kumbungu 	Mashesha	Mashesha	-16.28022	26.38916		An. funestus s.l.				133						21.2%			69.0%			Chanda et al. 2013		Organophosphates					Lagoon area
13736	G11274		PMI1116	Zambia	MG			Deltamethrin 12.5æg	2011-2012	Jun		K‚dougou	Western Kasai	Asosa	Tamale	Infulene	Infulene	-23.58972	-7.48332		An. funestus				91						53.0%			NA										Central area
13735	G11275		PMI1117	Zimbabwe	ZM			Pirimiphos?methyl 0.25%	2014	Jul		Cankuzo	Illubabor	West Wollega	Bungoma	Tshikaji	Tshikaji	-4.55106	28.52350		An. coustani				131						98.8%			83.0%										Urban vegetable growing area
13734	G11272		PMI1110	Malawi	BI			NA	2008	Jan		Oussouye	Kirehe	Jimma	B/Gumuz	Kirarambogo	Ambato Boeni	-23.26666	28.07221						130						99.2%			90.0%										Pehunco
13733	G11273		PMI1111	Democratic Republic of the Congo	BJ			Cyfluthrin 0.15%	2009	May		Cibitoke	West Shoa	Humno	Margibi 	Gondola	Mangwanda	9.43333	39.21003						137						87.6%			68.0%										approximately 130km east of Ouagadougou
13732	G11270		PMI1112	Senegal	CD			Pirimiphos-methyl 1.0%	2011	Nov		Matebeleland North	Eastern Kasai		Savelugu/Nanton	Kouande 	Chigweshe	6.43472	47.24333						135						98.9%			43.2%										Kandi
13731	G11271		PMI1113	Rwanda	MW			Bendiocarb 12.5æg	2010	Jul, Aug		Southern	Arsi		Ndola 	Bondo	Gondola	-14.72462	36.51350						41						74.0%			71.0%										urban vegetable area
13730	G9865		PMI710	Mozambique	LR			Lambda-cyhalothrin 0.75%	2013	NR		East Harerge	Humbo District		Luangwa 	Guingueneo	Kouande 	1.43224	47.66666						490						96.9%			43.0%										Rural and Cotton area
5988	G9864		PMI1118	Uganda	AO			Fenitrothion 50æg	2012	Dec		Midlands	East Wollega		Montserrado 	Quelimane	Bondo	-20.28861	46.73333						225						32.0%			36.5%										Natitingou
5989	G10381		PMI1119	Mali	ZW			DDT 100æg		Oct		Mashonaland West	Gicumbi		Amhara	Jile-Tumuga	Guingueneo	-12.06666	46.56666						24						91.3%			78.1%										Rural cereals and cotton area
5982	G10380		PMI247	Burundi	ML			Deltamethrin 0.025%				Bubanza	West Wollega		Kananga	Bamako	Quelimane	6.24250	29.65060						25						94.0%			47.0%										Rice growing area
5983	G10383		PMI2934	Kenya	ET			Bendiocarb 1.0%				Eastern 	Mutasa		Abaya	FENOARIVO BE	Jile-Tumuga	-2.06027	29.88333						26						76.5%			NR										Rural and rice area
5980	G10382		PMI244	Nigeria	UG			Bendiocarb 0.1%				Ngozi	Kelem Welega		Tete	Mugeba 	Bamako	-15.27405	37.06706						27						71.7%			98.0%										Djougou
5981	G10385		PMI245	Tanzania, United Republic of	MZ			Pirimiphos-methyl 20æg				Masvingo	Mutoko		Chewaka	Mbozi	Mbozi	-2.80000	-3.25000						20						12.0%			65.5%										Tanguieta
5986	G10384		PMI2698	Burkina Faso	TJ			Permethrin 12.5æg				Amhara	Haut Congo		Mumbwa 	Metema	Metema	-14.05012	-0.05068						21						36.2%			75.0%										Allada
5987	G10387		PMI2699	Benin	GH			Permethrin 0.75%				Atacora	Jimma		Gisagara	Nioro	Miarinarivo	13.04114	1.37500						22						70.0%			0.0%										Materi
5984	G10386		PMI2696					Malathion 0.5%				Oueme	Halaba		Kawambwa	Machinga 	Nioro	7.08333	32.22666						23						95.2%													Peri-urban area
5985	G10389		PMI2697					Alphacypermethrin 0.4%				Mwanza			Kitwe	Kalu	Machinga 	-2.45400	30.25200						160						36.0%													Suburban cotton area
7517	G10388		PMI2694					Permethrin				Kagera			Siaya	Oyam	Kalu	-1.35000	30.07390						28						78.0%													Rural area
7516	G9869		PMI2695					Fenitrothion 1.0%				Rutana			Chongwe 	Dioffior	Oyam	13.14756	34.63333						29						92.3%													Published
7515	G10011		PMI2693					Lambda-cyhalothrin 12.5æg				SNNPR			Nejo Town	Suakoko	Dioffior	13.98333	38.60000						222						49.0%													Urban area
7510	G10010		PMI2690					Dieldrin 4.0%				Muyinga			Oma Nada	Conhane	Suakoko	0.57068	30.11450						542						97.1%													Parakou
7519	G10013		PMI2691					Alphacypermethrin 0.05%				Oromia			Kapolowe	Ankasha	Conhane	-2.45385	29.56441						4						93.1%													Airport Area
7518	G9868		PMI2288					Fenitrothion 0.1%				Manicaland			Masaiti	Gutin	Ankasha	-21.05000	38.21638						342						34.0%													Permission granted for use
6150	G10015		PMI1806					Propoxur 0.1%							Halaba	Fatick	Nicoadala	-16.72940	48.45000						400						58.0%													Malanville
6151	G10014		PMI1807					Pirimiphos-methyl 0.05%							Kapiri Mpohi 	Bla	Gutin	9.04008	30.05876						280						7.5%													
6152	G10017		PMI1804					Alphacypermethrin 12.5æg							AIRS team	Tombouctou 	Fatick	12.95000	1.26440						220						76.2%													
6153	G10016		PMI1805					Cypermethrin 1%							Adjohoun	Rilima	Bla	7.50628	2.49637						774						30.0%													
6154	G10019		PMI1802					 Malathion 5.0%							Chipata	C.Inhambane	Ambanja	-18.81972	24.76660						120						90.5%													
6155	G10018		PMI1803					Alphacypermethrin 0.1%							Mufulira	Bedele 	Rilima	7.33700	33.61227						121						7.0%													
6156	G11018		PMI1800					Etofenprox 0.5%							Misserete	Chipata	C.Inhambane	6.82950	29.33000						122						4.0%													
6157	G11019		PMI1801												Ndoffane	BEKILY	Bedele 	-0.75000	32.43909						123						89.0%													
6158	G11012		PMI1808												Dale Sedi	Sumbawanga	Chipata	-2.41361	22.41638						124						47.0%													
6159	G11010		PMI1809												Tshangu	Pehunco 	Sumbawanga	8.53996	37.00498						125						49.5%													
13592	G11016		PMI2348												Bugesera	Ndoffane	Pehunco 	-25.17833	31.39160						126						96.8%													
13603	G11014		PMI2349												Tangui‚ta	Badiangara	Ndoffane	-18.95861	39.75000						127						58.8%													
13602	G10639		PMI2340												Busia	Mareba 	Antoetra	-18.61540	29.63326						128						94.3%													
13601	G10631		PMI2341												Kabwe 	Bako Tibe 	Bekily	-22.90000	1.02805						129						82.5%													
13607	G10630		PMI2342												Sofala 	Chisobe	Bako Tibe 	10.55000	34.84148						59						27.0%													
13606	G10635		PMI2343												Mazabuka	Rongo	Chisobe	-15.78612	-14.96666						58						97.6%													
10960	G10634		PMI2344												Senanga	ANJOZOROBE	Rongo	-15.77507	35.77207						55						66.5%													
13609	G10637		PMI2345												Chibombo 	Z Dugda	Soavinandria	10.30660	-10.59055						54						43.0%													
12100	G10636		PMI3011												Chililabombwe	Milange 	Z Dugda	-1.69551	36.15527						57						79.4%													
14546	G10613		PMI2347												Ameya	Kola-Temben	Milange 	-2.68521	32.44672						56						2.2%													
13720	G8859		PMI2209												Kisangani	Binga	Kola-Temben	-4.57666	29.46435						51						85.0%													
13547	G8858		PMI2208												Luanshya	Dar es Salaam	Boriziny	9.62472	-10.30489						50						1.0%													
13541	G10612		PMI2205												Mazabuka 	Grand Bassa 	Dar es Salaam	14.43000	23.60027						53						26.7%													
13542	G8855		PMI2204												Grand Bassa 	Mareba	Tulear II	12.48722	39.00000						52						35.7%													
11769	G8854		PMI2207												Gida Ayana	Chadiza	Grand Bassa 	-1.50230	44.31777						414						88.3%													
13722	G8857		PMI2206												Bobo-Dioulasso	Bunkpurugu-Yunyoo 	Mareba	6.23084	35.75583						416						98.0%													
11762	G8856		PMI2201												Homa Bay	Mikalayi	Chadiza	13.91666	-8.07137						259						89.7%													
11763	G8851		PMI2200												Inhambane	Bambey	Betroka	-17.39694	34.27250						533						41.0%													
11760	G8850		PMI2203												Nchelenge	Masakadza	Kedougou 	-20.19139	45.21666						531						17.0%													
11761	G8853		PMI2202												Katete	Rachuonyo	Mikalayi	-10.21277	-10.27388						530						10.4%													
11767	G8852		PMI813												Bahirdar	Kasulu	Bambey	10.67274	0.95117						920						83.0%													
11764	G11126		PMI812												Ilu Gelan	Musoma R	Soanierana	-16.45000	-0.00861						294						10.9%													
11765	G11127		PMI811												Nyagatare	Nyagatare	Masakadza	-0.50585	1.10000						374						15.0%													
15952	G11124		PMI810												Migori	Mabayi	Rachuonyo	-18.40000	39.64638						290						45.0%													
9528	G10269		PMI817												Natitingou 	Rarieda 	Kasulu	10.32498	27.76670						538						68.0%													
9529	G10709		PMI816												Wonchi	Adjohoun 	Musoma R	-0.76666	37.97836						590						14.7%													
9524	G10708		PMI815												Rusizi	Wonchi	Nyagatare	-26.04126	28.59730						199						81.5%													
9525	G11120		PMI814												SNNPR	Karonga	Mabayi	-12.76670	47.86666						179						54.0%													
9526	G11121		PMI3052												Kasama	K‚dougou 	Wonchi	16.65000	35.17079						200						95.5%													
9527	G10705		PMI2119												Chadiza	ANKAZOBE	Karonga	-25.96155	29.75129						197						91.5%													
9520	G10617		PMI2118												Cabo Delgado	Nsanje 	Nsanje 	10.83333	24.79739						196						19.0%													
9521	G10707		PMI1668												Isoka	Gololcha	Gololcha	0.62785	49.58333						191						87.2%													
9522	G10706		PMI1669												Moonga	Nyamasheke 	Ambilobe	-3.33880	-12.17323						190						92.9%													
9523	G10701		PMI1666												Tienfala	Nyagatare 	Nyamasheke 	-4.87694	33.80000						193						45.5%													
108	G10700		PMI1667												BunkpuruguYunyoo	Ruhengeri 	Ruhengeri 	-18.81777	35.50000						115						38.0%													
109	G10703		PMI1664												Nyanza	AMBOVOMBE	Ambovombe	-17.26600	-15.68757						114						29.2%													
2102	G10616		PMI1665												Kaoma	Gbullung	Gbullung	-5.50000	-16.76666						117						50.0%													
102	G10525		PMI1662												Solwezi	Kpaai & Kokoya	Manandriana	10.79158	34.95000						89						90.9%													
103	G10524		PMI1663												Maputo	Kiremba	Kicukiro	-0.84638	33.30000						111						71.0%													
106	G10527		PMI1660												Bukora	AMBOASARY 	Kondoa	10.52472	-3.00826						110						93.7%													
